"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","ANLN","ASPM","KCNN2","AFP","DKK1","ALDH3A1","ODAM","TTK","MEP1A","NEK2","EPCAM","TOP2A","POSTN","CCNB1","IGF2BP3","OIT3","LGR5","NUF2","GPC3","CNDP1","S100P","CLEC1B","COX7B2","REG3A","NQO1","FDCSP","CLEC4G","LIN28B","PEG10","LINC01093","LINC01419","MMP12","MYH4"
"TCGA-DD-A11B-00","2.7080502","3.4011974","5.8749307","4.8828019","0.0000000","3.4657359","0.0000000","2.3978953","1.0986123","1.3862944","5.8021184","3.6635616","4.4659081","3.6888795","1.3862944","7.3018223","3.5835189","1.3862944","6.3801225","7.1654935","3.4011974","5.5373343","0.0000000","0.0000000","4.2626799","3.4657359","0.6931472","0.0000000","3.5263605","7.0157124","0.0000000","0.0000000","3.4339872"
"TCGA-DD-A11D-00","2.772589","4.043051","4.234107","5.686975","3.258097","4.521789","1.386294","2.079442","1.098612","2.197225","5.820083","4.406719","4.234107","4.276666","1.791759","7.820841","4.955827","1.791759","6.555357","5.572154","3.258097","6.120297","0.000000","0.000000","4.718499","3.931826","0.000000","0.000000","7.989899","7.509883","0.000000","2.833213","3.044522"
"TCGA-FV-A3R2-00","2.7725887","2.8903718","6.4473059","4.4886364","1.7917595","2.0794415","0.0000000","2.1972246","0.0000000","2.3978953","6.0867747","4.1271344","5.0937502","4.1108739","1.3862944","8.0529330","3.7841896","1.3862944","5.3423343","6.7322107","2.9957323","5.2470241","0.0000000","0.0000000","4.1588831","0.6931472","1.0986123","0.0000000","4.9628446","7.1546154","0.0000000","1.0986123","3.5263605"
"TCGA-DD-A3A1-00","2.7725887","2.3025851","5.5053315","5.5529596","0.0000000","6.3117348","0.6931472","1.0986123","1.6094379","2.3025851","5.2522734","3.2958369","4.3567088","3.6375862","0.0000000","7.6207051","3.2188758","1.3862944","5.2626902","6.2766435","5.0937502","5.8692969","0.0000000","2.9957323","6.7007311","0.0000000","0.0000000","0.0000000","2.4849066","7.2675254","0.0000000","0.6931472","1.0986123"
"TCGA-EP-A12J-00","3.4339872","4.3567088","1.7917595","5.2417470","2.6390573","3.4011974","0.6931472","2.7080502","1.3862944","2.8903718","7.0282014","4.3820266","4.3694479","4.2626799","1.7917595","7.4927603","3.7135721","2.1972246","6.2461068","6.3885614","3.0445224","5.4510385","0.0000000","0.0000000","3.1354942","0.0000000","0.0000000","0.0000000","6.1355649","5.9053618","0.0000000","0.0000000","4.6443909"
"TCGA-BC-A10T-00","2.0794415","2.7725887","6.0776422","3.7841896","2.0794415","3.2188758","0.0000000","0.6931472","0.0000000","2.3025851","5.6021188","3.9318256","6.1246834","3.8286414","0.6931472","8.5171932","4.0253517","2.0794415","4.5747110","7.5688957","2.9957323","5.8861040","0.6931472","0.0000000","3.6888795","0.0000000","0.0000000","0.0000000","4.7791235","7.7727527","0.0000000","1.0986123","0.0000000"
"TCGA-DD-A113-00","2.7725887","3.1780538","6.0799332","5.2203558","0.0000000","6.9527286","1.0986123","0.0000000","1.0986123","2.3025851","5.4380793","3.9889840","4.9487599","3.6888795","1.3862944","7.8485435","4.0073332","1.9459101","4.2341065","7.8131873","3.7612001","5.3471075","0.0000000","0.0000000","6.2146081","0.0000000","0.0000000","0.0000000","5.7203118","7.8026181","0.0000000","0.6931472","0.0000000"
"TCGA-BD-A3EP-00","2.302585","3.526361","6.079933","4.941642","3.806662","4.844187","0.000000","1.609438","0.000000","4.812184","5.641907","4.043051","5.347108","3.912023","1.609438","8.259976","4.110874","1.791759","5.446737","7.330405","2.302585","5.655992","0.000000","2.197225","4.356709","4.077537","0.000000","0.000000","5.749393","7.380256","0.000000","2.995732","1.386294"
"TCGA-EP-A3RK-00","3.9889840","4.3307333","6.5395860","4.9487599","1.6094379","3.3672958","1.3862944","2.1972246","1.0986123","3.2188758","4.7004804","4.8675345","5.0039463","4.8202816","0.6931472","8.0261702","3.7612001","2.6390573","5.3181200","7.5384950","1.6094379","5.2729996","0.6931472","5.1873858","3.4965076","0.0000000","0.6931472","0.0000000","6.6424868","8.2209412","0.0000000","1.0986123","1.7917595"
"TCGA-DD-A1EH-00","3.9318256","4.2046926","6.6694981","5.5490761","1.0986123","2.3978953","0.0000000","2.6390573","0.6931472","3.4339872","5.3230100","4.7621739","5.3659760","4.5643482","1.3862944","8.0586437","4.5538769","2.7725887","4.3694479","8.0368968","2.8903718","5.7620514","0.0000000","0.0000000","4.9628446","0.0000000","0.0000000","0.0000000","5.3082677","8.0410910","0.0000000","0.0000000","0.0000000"
