"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"gene","SEC61A2","SEL1L3","EIF3L","RPL3","KRT23","OAS2","SLC39A11","CFHR5","LRRC1","LOXL4","CREG1","JTB","FAM168B","PTPRD","STC1","SLC22A15","SENP2","HSPA4L","COL4A3","CTDSP2","NR2F1","DLEU1","NR2C2","GTPBP6","PRR14L","MAGEH1","TRIM31","NEURL1B","LINC01806","DENND11"
"TCGA-BC-A10Y-00"," 5.231109"," 6.704414"," 8.266164","11.016611"," 2.397895"," 6.791221"," 7.536364"," 8.325548"," 3.891820"," 4.787492"," 9.129456"," 5.817111"," 8.092239"," 6.403574"," 5.043425"," 3.044522"," 7.237059"," 6.455199"," 3.258097"," 8.678121"," 7.154615"," 4.189655"," 6.586172"," 7.625107"," 6.914731"," 6.298949"," 2.772589"," 6.703188"," 3.850148"," 7.433667"
"TCGA-DD-A1EG-00"," 5.181784"," 6.306275"," 7.253470","11.011836"," 4.110874"," 7.964156"," 7.713785"," 7.986505"," 4.158883"," 6.175867"," 8.939319"," 5.811141"," 7.254178"," 5.680173"," 5.288267"," 2.995732"," 6.710523"," 6.242223"," 2.564949"," 7.789869"," 6.599870"," 3.465736"," 5.283204"," 7.412160"," 6.142037"," 6.054439"," 4.382027"," 5.389072"," 4.682131"," 6.558198"
"TCGA-DD-A1EI-00"," 5.840642"," 6.762730"," 8.325791","11.063681"," 3.828641"," 8.676928"," 8.040447"," 8.504716"," 3.988984"," 5.332719"," 9.261509"," 6.098074"," 7.667158"," 6.978214"," 5.488938"," 2.995732"," 7.297091"," 6.661855"," 3.465736"," 8.206584"," 6.822197"," 4.025352"," 6.293419"," 7.319865"," 6.729824"," 6.304449"," 3.401197"," 6.530878"," 4.219508"," 7.051856"
"TCGA-BD-A2L6-00"," 5.771441"," 7.937017"," 8.099251","11.268839"," 4.852030"," 7.478735"," 7.736744"," 8.644530"," 4.753590"," 6.232448"," 9.503607"," 5.886104"," 7.932721"," 6.366470"," 5.323010"," 4.454347"," 7.118826"," 5.811141"," 4.615121"," 8.633553"," 7.227662"," 4.553877"," 6.597146"," 7.474772"," 6.806829"," 6.664409"," 3.044522"," 6.854355"," 4.653960"," 7.347944"
"TCGA-BC-A10R-00"," 6.641182"," 6.954639"," 8.052615","10.908155"," 3.784190"," 7.570443"," 7.804251"," 8.721113"," 3.401197"," 5.416100"," 9.490469"," 6.066108"," 8.003363"," 6.461468"," 4.890349"," 3.367296"," 7.079184"," 6.714171"," 3.135494"," 8.414052"," 6.777647"," 3.610918"," 6.300786"," 7.242798"," 6.838405"," 6.383507"," 5.159055"," 5.805135"," 4.521789"," 7.264030"
"TCGA-DD-A11B-00"," 4.736198"," 6.343880"," 7.385851","10.339805"," 5.662960"," 6.045005"," 7.414573"," 7.786552"," 3.688879"," 6.023448"," 8.744169"," 5.247024"," 7.565793"," 5.765191"," 4.521789"," 4.615121"," 6.450470"," 6.018593"," 3.931826"," 8.151045"," 6.152733"," 2.944439"," 5.973810"," 6.830874"," 6.204558"," 5.655992"," 3.688879"," 6.137727"," 2.639057"," 7.413970"
"TCGA-DD-A11D-00"," 5.438079"," 6.907755"," 7.406103","10.606981"," 4.624973"," 9.621456"," 7.798523"," 7.687080"," 4.143135"," 6.956545"," 9.129781"," 5.620401"," 6.634633"," 5.003946"," 6.363028"," 3.583519"," 6.995766"," 6.459904"," 3.091042"," 7.765569"," 6.687109"," 3.850148"," 5.834811"," 7.151485"," 6.542472"," 5.886104"," 4.905275"," 5.616771"," 3.663562"," 6.690842"
"TCGA-FV-A3R2-00"," 4.955827"," 6.584791"," 7.610358","11.074250"," 4.369448"," 8.111628"," 7.428333"," 8.389360"," 3.951244"," 5.583496"," 9.019543"," 6.311735"," 7.832014"," 6.287859"," 5.451038"," 3.806662"," 6.960348"," 5.877736"," 3.401197"," 8.671115"," 6.633318"," 3.931826"," 5.886104"," 7.828436"," 6.453625"," 6.302619"," 3.433987"," 6.152733"," 3.637586"," 6.876265"
"TCGA-DD-A3A1-00"," 4.820282"," 6.169611"," 6.291569","11.193161"," 3.555348"," 6.030685"," 7.325808"," 8.485083"," 4.007333"," 4.897840"," 8.970305"," 6.499787"," 7.079184"," 5.375278"," 5.010635"," 2.197225"," 6.115892"," 4.897840"," 2.639057"," 7.661998"," 6.257668"," 3.044522"," 3.828641"," 7.757906"," 5.631212"," 5.828946"," 3.496508"," 5.828946"," 3.583519"," 6.253829"
"TCGA-EP-A12J-00"," 4.553877"," 6.971669"," 7.297091","10.207326"," 5.840642"," 9.614672"," 7.574045"," 6.996681"," 4.442651"," 6.753438"," 8.785234"," 4.955827"," 6.822197"," 4.691348"," 4.532599"," 3.784190"," 6.679599"," 6.186209"," 3.496508"," 7.754482"," 6.396930"," 3.044522"," 5.556828"," 7.100852"," 6.459904"," 4.795791"," 4.394449"," 6.723832"," 4.219508"," 6.620073"
"TCGA-BC-A10T-00"," 5.075174"," 5.973810"," 7.528869","10.717480"," 2.079442"," 6.063785"," 7.430114"," 8.369389"," 3.891820"," 5.342334"," 8.809266"," 5.976351"," 7.331715"," 6.440947"," 5.968708"," 2.564949"," 6.779922"," 6.035481"," 2.079442"," 7.757051"," 6.439350"," 3.091042"," 5.365976"," 6.882437"," 6.167516"," 5.996452"," 2.397895"," 4.709530"," 4.762174"," 6.331502"
"TCGA-DD-A113-00"," 5.662960"," 6.190315"," 7.348588","10.488381"," 2.890372"," 6.184149"," 7.547502"," 9.198065"," 2.995732"," 5.099866"," 9.258082"," 5.438079"," 7.076654"," 6.628041"," 5.351858"," 3.912023"," 6.734592"," 5.874931"," 3.135494"," 7.772332"," 6.190315"," 3.465736"," 5.416100"," 7.029088"," 6.272877"," 6.008813"," 3.218876"," 5.433722"," 4.442651"," 6.572283"
"TCGA-BD-A3EP-00"," 5.288267"," 6.556778"," 7.820038","10.801655"," 3.178054"," 6.553933"," 7.531016"," 8.187299"," 3.332205"," 5.288267"," 8.447414"," 5.198497"," 7.991931"," 6.431331"," 5.429346"," 3.332205"," 6.991177"," 6.210600"," 2.833213"," 8.744329"," 6.483107"," 3.828641"," 5.942799"," 7.312553"," 6.840547"," 5.834811"," 3.091042"," 5.828946"," 4.442651"," 7.548029"
"TCGA-EP-A3RK-00"," 6.001415"," 6.082219"," 7.810758","10.974386"," 1.098612"," 5.749393"," 7.791110"," 8.218518"," 3.931826"," 4.234107"," 8.666130"," 5.480639"," 7.578145"," 6.008813"," 4.382027"," 2.708050"," 6.889591"," 6.113682"," 2.302585"," 8.166784"," 6.535241"," 4.189655"," 5.799093"," 7.451822"," 6.421622"," 6.086775"," 2.708050"," 6.302619"," 3.218876"," 7.108244"
"TCGA-DD-A1EH-00"," 5.393628"," 6.363028"," 7.375256","11.175479"," 2.197225"," 6.194405"," 7.725771"," 8.615771"," 3.555348"," 4.615121"," 9.224933"," 6.021023"," 7.346655"," 6.483107"," 5.455321"," 2.564949"," 6.863803"," 6.242223"," 2.639057"," 7.805067"," 6.766192"," 4.369448"," 5.624018"," 7.138073"," 6.144186"," 6.066108"," 2.833213"," 6.079933"," 3.931826"," 6.470800"
"TCGA-FV-A2QR-00"," 5.153292"," 7.849324"," 8.018625","11.194275"," 8.144098"," 6.735780"," 7.668094"," 8.435549"," 5.509388"," 8.450198"," 9.226214"," 5.411646"," 7.672758"," 6.689599"," 6.920672"," 4.219508"," 6.977281"," 6.442540"," 4.418841"," 7.955074"," 7.336937"," 4.094345"," 5.926926"," 7.462215"," 6.536692"," 6.419995"," 5.361292"," 6.442540"," 4.060443"," 6.899723"
"TCGA-DD-AAEI-01"," 5.2729996"," 6.2344107"," 8.1104272","11.1591891"," 3.1780538"," 7.3846104"," 7.4181808"," 6.3801225"," 5.5254529"," 6.8480053"," 8.8875146"," 5.7397929"," 7.7226775"," 5.2729996"," 5.7960578"," 2.9444390"," 6.8865316"," 6.5072777"," 0.6931472"," 8.5937838"," 3.9318256"," 3.6635616"," 6.0014149"," 7.7869670"," 6.5264949"," 3.8918203"," 5.9107966"," 6.4488894"," 2.8903718"," 8.2542688"
"TCGA-FV-A3R3-01"," 4.844187"," 8.119101"," 8.377241","11.579930"," 2.772589"," 7.939872"," 8.578100"," 5.298317"," 5.293305"," 7.805475"," 9.672501"," 5.645447"," 9.025335"," 5.323010"," 8.038189"," 3.663562"," 7.493317"," 6.634633"," 4.955827"," 9.310819"," 7.482682"," 3.784190"," 6.843750"," 7.665285"," 6.907755"," 5.880533"," 3.258097"," 8.135640"," 4.795791"," 7.246368"
"TCGA-G3-A5SJ-01"," 5.846439"," 8.739857"," 8.118207","11.169646"," 9.025456"," 6.848005"," 8.508959"," 4.912655"," 6.931472"," 7.025538"," 8.547334"," 6.230481"," 7.542213"," 6.588926"," 7.105786"," 4.290459"," 6.828712"," 7.142827"," 5.852202"," 8.437934"," 7.162397"," 4.762174"," 6.401917"," 7.321189"," 6.708084"," 6.952729"," 6.068426"," 5.855072"," 4.875197"," 6.568078"
"TCGA-HP-A5MZ-01"," 5.384495"," 7.313887"," 7.696213","10.830619"," 5.641907"," 7.595890"," 7.469084"," 9.185228"," 5.332719"," 7.343426"," 9.986587"," 6.408529"," 7.897296"," 5.347108"," 6.755769"," 5.214936"," 6.632002"," 6.660575"," 3.784190"," 8.494539"," 6.569481"," 4.060443"," 6.545350"," 8.078068"," 6.559615"," 6.987490"," 6.122493"," 7.039660"," 3.850148"," 7.504942"
"TCGA-G3-A25Z-01"," 6.940222"," 5.869297"," 7.957177","11.207242"," 8.158802"," 7.439559"," 8.388678"," 9.547027"," 4.859812"," 6.541030"," 9.597574"," 6.484635"," 8.554489"," 5.891644"," 6.028279"," 4.262680"," 6.945051"," 6.822197"," 3.091042"," 8.391630"," 5.252273"," 5.262690"," 6.171701"," 7.839526"," 6.447306"," 5.356586"," 5.433722"," 6.354370"," 5.323010"," 7.960324"
"TCGA-DD-AACD-01"," 3.6635616"," 5.5294291"," 5.2257467","11.0946638"," 0.6931472"," 8.5239702"," 7.3932631"," 8.2411762"," 3.8501476"," 6.2383246"," 8.3236084"," 7.2420824"," 6.5467854"," 4.1588831"," 5.7004436"," 1.6094379"," 6.1737861"," 5.2933048"," 1.0986123"," 7.0774981"," 5.7651911"," 4.1588831"," 4.0775374"," 7.5261789"," 5.8550719"," 6.3885614"," 6.3117348"," 5.9814142"," 0.0000000"," 6.4377516"
"TCGA-NI-A8LF-01"," 5.170484"," 5.463832"," 7.719574","10.621449"," 2.995732"," 6.436150"," 8.163941"," 8.848940"," 4.941642"," 7.041412"," 8.553911"," 6.576470"," 8.212840"," 1.609438"," 8.672657"," 1.791759"," 6.897705"," 4.406719"," 3.295837"," 8.640295"," 6.922644"," 4.867534"," 7.178545"," 7.894318"," 6.552508"," 6.628041"," 4.510860"," 6.996681"," 4.644391"," 7.637716"
