"","eHCC-1","eHCC-2","eHCC-3","eHCC-4","eHCC-5","eHCC-6","eHCC-7","eHCC-8","eHCC-9","eHCC-10","eHCC-11","eHCC-12","eHCC-13","eHCC-14"
"CIRBP-AS1",5.032172606,4.7982838,4.844759094,5.103430926,4.961873695,5.160193323,4.853166846,5.181750313,5.038062323,4.794706464,5.032729922,4.875270617,4.842573445,4.599837509
"CITED2",8.552696076,8.520765378,8.826859428,9.67331702,8.466834178,8.895028466,9.350855763,9.561593822,8.984631153,9.035425499,9.108006227,8.243684929,8.983119723,8.089997259
"CIZ1",4.690018736,4.961873695,5.065191254,4.680734238,5.136254572,5.822246951,5.063803474,4.747272276,5.197509212,5.304942794,4.966840189,4.9045185,5.353232201,5.344649785
"CKAP2",6.348508321,6.495634865,6.444887806,5.942908049,6.348139194,6.120286413,7.010098458,6.482587235,6.473106427,6.403215767,6.538149431,6.572257217,6.461311712,6.133117329
"CKAP2L",6.070158335,5.745604707,5.594655649,4.664160954,4.809765451,5.403200131,6.222799123,6.231330892,5.29444994,5.553378451,5.833421657,5.674244728,4.661777992,5.383548263
"CKAP5",9.149750178,9.099914082,8.798822943,8.562216407,8.98364763,8.982109911,9.166599713,8.960973145,9.388524708,9.118756824,9.19680835,9.331296102,8.992390068,9.081099273
"CKS1B",10.02185131,10.47636175,10.25326393,9.884666776,9.564107678,9.197358924,11.37636647,10.1040143,10.56745262,10.46200004,9.869263508,9.884666776,10.20593156,9.609645294
"CKS2",9.870665903,8.416850076,8.399179204,8.212880435,7.760195824,8.663704704,9.371707673,9.042478414,8.860301798,8.576414835,8.426262036,8.363889599,8.405392214,8.028224089
"CLC",5.400039175,5.91217235,5.197736652,4.997370368,5.72329059,5.10521116,5.034270055,4.835011557,6.361568207,5.509330118,6.323854938,5.701229702,6.24446556,5.5156581
"CLEC4M",4.604509511,6.071480719,4.912322935,7.021388983,6.757891462,6.911774075,4.498771432,5.452304596,4.514842918,7.606045042,6.653410563,4.866928236,6.318738233,4.485912955
"CLGN",4.702915523,4.772203321,4.794796545,4.826840231,4.912902405,4.671179645,4.586437814,5.027924075,4.571823827,5.591291495,4.987641458,4.721575811,4.641570232,4.783751065
"CLIC1",9.48852727,10.18806151,9.788796659,9.876538238,9.543946726,9.443574939,10.15614762,10.21083511,10.56001675,9.945903341,10.09825926,10.61250729,8.959974404,9.948734669
"CLK2",7.069257344,7.779037146,7.892039732,7.683567546,8.008191216,7.828432292,7.898698065,7.51933897,7.766154022,7.580883731,7.611924358,7.792854832,7.134971335,8.021487038
"CLOCK",8.480043139,6.636602665,7.237968577,7.623726785,7.389730003,7.673338022,7.047546218,6.943266798,7.015210865,6.835698583,6.663068355,6.546775831,6.852856148,7.39288728
"CLTA",10.59688469,10.46714421,10.28186205,10.18080984,9.933204405,10.13876515,10.60111605,10.56943334,10.56419715,10.50304035,10.55890196,10.40866707,10.18080984,10.3886468
"CNDP1",9.584816053,7.563836785,6.531127363,6.367959778,5.899169248,8.862291926,7.273659213,8.984172075,6.86824924,6.279044767,5.039345823,4.628266738,7.601486919,4.549105864
"CNIH4",10.05344095,9.511411578,9.894265105,9.731737609,9.115008001,8.469909317,9.486682446,9.547498101,9.785296339,9.116124964,9.090385629,9.30019769,9.370487775,9.367120379
"CNOT1",10.41056499,10.2017349,10.57176027,10.39932602,10.76747187,10.69784036,10.54903287,10.44175051,10.27329989,10.62844607,10.8046883,10.53664973,10.38372757,10.55137852
"CNOT10",7.437341176,7.35907739,7.41812691,7.474990284,7.376147497,7.568823829,7.527523153,7.317138838,7.424816015,7.44471866,7.695968556,7.314137184,7.022315862,7.202488012
"CNOT3",6.479843875,6.606502147,6.487594552,6.309085275,6.581924902,6.951154744,6.269437217,6.447164134,6.224015397,6.528520237,6.675616623,6.226505094,6.572784515,6.661591129
"CNOT4",8.91762192,7.997534987,8.632885215,8.647866363,8.958996279,8.642479985,8.551900865,7.794399041,8.59735359,8.145353519,8.568045821,8.595046223,8.506747847,8.890614981
"CNOT6",5.853488296,6.085391189,6.411514038,6.484902811,6.220310583,6.367103756,5.832681122,6.100390113,6.499701081,6.751298714,7.177212331,6.591817416,5.809293521,6.715166392
"CNPY2",9.482783461,9.456068863,9.700271839,9.292335503,9.319509258,8.395518253,9.685973836,9.453691268,9.689689708,9.912887824,9.492974664,8.504979375,9.792090135,8.753488713
"CNTFR",4.595630132,6.286700167,5.027678313,4.758407087,5.923621413,6.251674042,4.856397099,4.539198431,6.359312279,4.632903219,4.781686103,4.730169429,4.675432196,4.953019936
"CNTLN",6.184058442,6.427227895,6.957498285,6.825793707,6.534005777,6.288011623,6.484902811,6.627817887,6.314415849,6.884343668,6.607805788,6.122342507,6.387720185,6.28614977
"CNTN4",4.723713711,5.184420476,4.781580543,5.018438044,4.839542048,4.631455057,5.167646523,4.729242601,5.273757515,4.812581983,4.800925059,4.697150108,4.640508569,4.69763558
"COG2",7.653861218,7.803795324,7.76795505,8.257918471,8.119161977,7.927956796,8.164338861,7.492096798,7.8816854,7.674341494,7.65664811,7.912051613,7.803029516,8.492291162
"COIL",8.556806808,7.991040744,8.22804859,8.277506065,8.357967907,7.879154212,7.942021883,8.131242445,8.392392006,8.351666172,8.109656179,8.147003348,8.479135132,8.056302152
"COL15A1",7.428670231,7.004759005,7.057825958,4.734583764,4.770402906,4.938763499,8.258340899,6.717015792,7.76095362,6.397068948,5.663714071,8.548161585,5.019116833,7.830431397
"COL4A1",10.83787404,10.79882655,11.03845404,9.111761061,9.826464597,10.05759998,10.6968123,10.85031994,11.58644237,10.02908094,10.67169621,12.57761588,9.957750866,12.07068235
"COL4A4",5.242779909,4.602980755,6.008785613,4.74617439,5.701711333,5.35849248,5.254220123,4.923813103,5.464931917,4.47207231,4.866392491,5.761426749,4.668282041,5.150990107
"COLEC10",4.560474342,6.611482155,5.017679239,5.991099534,6.867592742,7.458752831,4.945052516,5.776548588,5.894722946,6.091699291,6.505181895,5.400213345,6.363754687,5.281637416
"COLEC11",8.625876337,10.78409193,10.0093472,10.10963083,10.28552624,10.37603329,9.537046902,9.24354846,10.93964101,9.942680123,9.408827077,10.55461064,10.1479597,10.42554959
"COLEC12",6.466075307,4.760537471,6.849609055,4.637585814,4.636147415,4.876589727,6.424943278,7.669399127,5.201535734,4.78461318,6.001943081,5.338978114,4.568481831,6.154103578
"COMMD5",8.820698165,8.9614073,8.973725237,8.980947425,8.34502823,8.657680111,8.915620752,8.86832806,8.972708226,8.626327409,9.30783978,8.87790076,8.919771722,8.884629134
"COPA",10.65148744,11.19555984,11.40969128,10.92087604,10.69317013,10.60111605,10.95565395,10.86059349,10.85031994,10.86932455,10.40486524,11.03298934,10.72823753,10.64054973
"COPS6",9.127722591,8.385696496,8.008191216,8.662810669,8.334156636,8.369532569,9.250881477,8.500499555,8.66466475,8.432967385,8.301642256,8.433732642,8.641108792,8.372482934
"COPS7A",10.5229167,10.12391645,10.10963083,10.11209952,10.12892335,10.10316422,10.45059266,10.03548531,10.26258075,10.26356698,10.08098373,10.15614762,10.12239327,10.1773689
"COPZ1",9.773345235,9.231710227,9.293492507,9.30125656,9.403062617,8.925432751,10.10150818,9.550505713,9.551834928,10.00574988,9.396427234,9.128277956,9.761182311,9.164975991
"CPA3",4.787960095,5.996170517,5.243527099,4.752053274,5.951909698,4.812984959,4.706382876,4.743751683,7.917848412,5.433012899,4.522565833,7.488651579,5.347711388,5.612497327
"CPN2",12.95109381,12.47852729,12.57449507,12.71092728,12.8418727,12.71092728,12.44093209,12.88289199,11.89601043,12.80370882,12.18021836,11.46589426,12.29602829,12.13060661
"CPNE1",7.948554727,7.983564737,8.460318107,8.152522155,9.242533936,9.011346306,8.590039621,8.187197634,8.710560727,8.620783747,8.204030387,9.174043574,8.510833024,8.761150233
