"","LDN-1","LDN-2","LDN-3","LDN-4","LDN-5","LDN-6","LDN-7","LDN-8","LDN-9","LDN-10","LDN-11"
"ANXA4",7.688882202,6.671799141,6.573346706,6.772019817,7.162707562,7.658761776,6.27498329,7.41812691,7.449240361,6.873933171,7.958865329
"AOC1",4.547493349,4.612161677,4.859107339,6.930221227,4.557681628,4.609230399,4.477530454,4.597084833,4.49554644,4.709456671,4.589340672
"AP1S1",8.369532569,8.933036259,8.07991199,8.318084583,8.378330784,8.257082233,8.088825586,8.246035176,8.2133194,8.892129127,8.321129371
"AP3B1",9.790743965,9.95853672,9.3633953,9.097247248,9.560882994,9.661154401,9.346157852,9.363863544,9.295656752,9.735366025,9.795540005
"AP3S1",8.118788277,8.939925518,8.495854176,8.795443478,8.345857975,9.17997179,8.06851434,9.141153477,8.815310742,8.691821744,8.938298442
"AP5M1",7.622085376,7.864254438,7.738492897,7.425183362,7.800472728,7.997908773,7.426191487,7.961157754,7.617716143,7.946196263,8.018148706
"APBB3",10.22965838,9.948734669,10.63620587,10.00125782,10.14452215,10.0487109,10.43558983,10.02591663,9.987861078,9.963493753,9.485308604
"APC",4.665190611,4.761910239,5.135086212,4.600632178,4.446369902,4.53817998,4.44710422,4.733523152,4.411544658,4.643812386,4.533578265
"APC2",4.558731161,4.852225924,4.906482619,4.640158417,4.602705031,4.612561638,4.54887339,4.473161175,4.754056235,4.640063354,4.711347265
"APH1A",9.122577132,9.243029015,9.551834928,9.655214089,9.750886253,9.110694682,10.00054237,9.374228407,9.337955252,9.56225155,9.560247726
"APIP",8.121969519,8.022202596,8.14982593,7.892447611,7.587173607,8.039402536,7.958064271,8.22552518,7.902093499,8.395900767,8.927607988
"APOA1",14.71824933,14.85989068,14.88516255,14.82126215,14.73166834,14.99278834,15.01797082,14.67969991,14.82126215,14.84525398,14.78202348
"APOA5",11.15156708,11.16190252,11.24492043,11.30868207,11.29634348,9.065037037,11.16190252,11.46264286,11.73174027,11.93291608,11.65649354
"APOBEC3B",4.767829932,4.711525027,4.586900206,4.910395588,4.464826937,4.538022395,4.587218814,4.623039837,4.615145208,4.502469939,4.584778715
"APOC3",15.10558798,15.19076697,15.15586653,15.26451205,15.19076697,14.78202348,15.0607914,15.23776273,15.21164625,15.0772174,15.17334396
"APOF",12.51226009,11.30416877,12.08994519,12.83862959,12.6100083,11.37480853,12.83862959,12.70396736,12.29602829,12.28540314,11.80965952
"APOH",13.40596914,13.31064115,13.51737004,13.78332094,13.49570355,13.81116187,13.51160177,13.60178782,13.41512683,13.45127798,13.08872561
"AQP1",6.545039876,5.423799553,5.147891856,5.591885088,6.689957127,7.118850155,5.893940774,5.388242224,6.137574572,5.873485485,6.022941734
"AQP3",4.512238633,4.643812386,4.489976986,4.936776258,4.622946325,4.672453317,4.472808406,5.188493271,4.511745803,4.743574407,4.832500352
"ARF1",11.13668459,11.42093765,11.20845985,11.15156708,11.06182777,11.45290666,10.87060241,11.61107862,11.33054453,11.3701911,11.45079454
"ARHGAP10",7.502880318,7.670866388,6.136376368,8.717024316,7.527214603,6.233213549,7.65664811,7.58315966,8.315125137,7.928759232,6.252819703
"ARHGAP11A",5.074630391,5.117631263,5.344649785,5.385709524,4.843870354,5.183571453,5.495279799,5.054693466,5.131228937,4.969633032,5.01632991
"ARHGAP19",6.911107187,6.771727138,6.984852453,7.513209484,6.856886749,6.504549405,7.233028576,7.041298879,7.119170935,6.986055092,7.076553573
"ARHGEF11",5.75008447,5.578072284,5.655242147,5.672111396,6.024310501,5.411281659,5.899941967,6.033644184,5.781134474,5.921921858,6.092512815
"ARHGEF26",4.793053268,4.9515409,4.699182702,5.180929714,5.494305778,4.662969522,4.898463855,5.392040091,4.881030837,4.881156101,5.216309902
"ARID1A",9.158894583,9.329574378,8.949393757,9.331296102,9.082239534,9.029096259,9.090871539,8.871702733,9.116124964,9.010373998,9.025284452
"ARID1B",7.706371853,7.215725161,7.157515881,7.175497529,7.387399606,7.290751579,7.52274867,7.238276973,7.29146335,6.948703149,6.544132582
"ARID2",5.754325041,5.93173833,5.419060241,5.433367537,5.928178443,5.947191764,5.713069492,5.864678374,5.958499101,5.328251047,5.994421453
"ARID3B",7.016472323,7.654575406,7.897599366,7.492720682,7.714257886,8.354977123,9.074693342,8.215431108,8.745509896,7.346489594,9.381013436
"ARID4B",8.832153673,8.509961702,8.800783353,8.261951652,8.51789829,8.847227762,8.181271162,8.339385857,8.716584401,8.569361205,8.686907701
"ARIH2",9.000825905,8.73903507,9.117169358,9.207643955,8.937301734,8.71935211,9.141153477,8.864291353,9.279097167,9.146078778,8.931550003
"ARL15",5.358353634,5.326962129,5.865858259,5.363388956,5.869941309,6.037612302,5.550610387,5.942628579,5.464043149,5.849087968,5.94315023
"ARL6IP6",6.846561819,7.041298879,7.032774042,6.630129465,6.709204717,7.662422299,6.694007924,7.146680448,6.870904372,6.744564243,6.546428767
"ARMC1",8.63508287,8.158794198,8.16309088,8.204030387,8.375150598,8.374733328,8.442398233,8.148488884,7.891393318,8.235728655,8.296489794
"ARMC6",8.173664498,8.748954428,8.189281391,8.612364533,8.372482934,8.431240163,8.405935809,8.559469227,8.775813638,8.450173169,7.811646215
"ARPC1A",10.42134448,10.00125782,10.12714789,10.08487693,10.04707071,9.467751532,9.961129021,10.08026139,9.981104891,10.0487109,10.15966768
"ARRDC4",8.094745099,8.030317511,6.256099541,7.003817925,6.569261611,7.115541236,6.922443048,8.016949376,6.935949474,7.033360254,6.694290668
"ARSJ",4.920513469,5.035884014,5.078208948,5.239483108,4.780935042,5.66641343,5.309653736,4.769987755,4.842754214,4.637435217,4.851082476
"ASAP2",5.876721133,5.939917913,5.517983074,5.832893245,6.035265879,5.929899318,5.595524115,5.743317213,5.855638621,6.036580342,5.896756597
"ASH1L",4.802874247,5.036879428,4.721127163,4.819903445,5.443413346,5.225243818,4.912630078,5.57168633,5.396212421,4.63735454,5.034270055
"ASL",8.997411082,8.393182695,9.037462732,9.484668673,9.703306081,9.7459563,9.835703299,9.103723757,9.842082944,9.961943316,10.22965838
