"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"gene","SEMA3F","SEC62","RBM7","SEH1L","RNMT","SARS2","RNASEH2A","SERINC1","RBP2","RND3","SCAMP3","RGS4","SEM1","RAN","SEC61G","SEMA6D","SCYL1","RASA1","SANBR","RFT1","SAP30","RNF180","SAC3D1","SCARA3","RNF187","SAMD12","RIC8A","SERHL2","RELN","SDHD","RBMXL1","SEC22B"
"TCGA-EP-A3RK-00","5.613128","8.773385","6.386879","6.447306","6.269096","3.610918","0.000000","9.016027","0.000000","7.014814","7.186144","4.343805","8.009695","7.728416","7.061334","5.529429","8.032685","5.950643","3.850148","5.955837","4.454347","5.288267","5.605802","5.049856","8.055792","5.411646","7.237778","2.639057","7.885705","8.323851","6.324359","7.192934"
"TCGA-DD-A1EH-00","5.662960","8.974745","6.452049","6.831954","6.139885","2.890372","0.000000","9.305741","0.000000","8.326033","7.254178","4.025352","8.402456","8.122074","7.336286","5.411646","7.981050","5.805135","3.583519","6.018593","4.852030","5.811141","5.805135","5.513429","8.264621","4.948760","7.397562","1.791759","7.508787","8.644354","6.489205","7.562162"
"TCGA-FV-A2QR-00","5.624018","9.019180","6.902743","6.909753","6.593045","3.496508","0.000000","9.275472","2.397895","9.190750","7.533694","7.780303","8.150179","8.559869","7.385231","5.283204","8.217708","6.411818","4.762174","6.131226","5.318120","5.564520","5.505332","5.170484","8.184793","5.616771","7.783224","2.484907","8.184793","8.077137","6.817831","7.305188"
"TCGA-DD-AAEI-01","6.3332796","8.2292444","5.9348942","6.7190132","6.6476884","3.9120230","0.0000000","8.4871463","0.6931472","6.1268692","7.9312848","2.5649494","8.9250554","9.0808010","7.3414839","3.6375862","8.5716814","5.8111410","4.8441871","6.4425402","5.3659760","2.3978953","6.3350543","7.0048820","8.3298993","1.6094379","7.7919360","1.7917595","0.6931472","8.0417347","5.6903595","7.0867379"
"TCGA-FV-A3R3-01","7.360740","9.377125","6.708084","6.793466","7.153052","4.110874","0.000000","9.895304","3.988984","7.537430","8.218248","3.988984","7.917536","8.456168","7.317876","5.365976","8.003697","6.804615","4.779123","6.122493","4.828314","6.350886","5.375278","8.035926","8.935640","3.784190","8.166784","3.871201","4.406719","8.483223","6.411818","7.650645"
"TCGA-G3-A5SJ-01","6.675823","8.332549","6.182085","7.309212","6.923629","3.761200","1.098612","9.211739","2.772589","8.199739","8.083946","4.672829","8.704171","9.193601","8.473450","5.765191","7.496652","6.453625","5.187386","6.930495","5.988961","4.779123","5.837730","5.241747","8.420682","7.162397","7.526179","3.258097","9.043341","7.264030","6.418365","7.607381"
"TCGA-HP-A5MZ-01","7.255591","8.440528","6.498282","6.950815","6.699500","3.178054","0.000000","9.040026","4.543295","7.363280","8.511175","4.941642","8.406262","8.786151","7.655864","5.375278","8.271293","6.469250","5.236442","6.142037","5.438079","6.063785","6.146329","6.622736","8.879751","5.961005","7.771489","3.091042","7.284821","8.565793","6.109248","7.376508"
"TCGA-G3-A25Z-01","6.535241","8.686430","7.028201","7.319865","6.923629","3.761200","0.000000","9.159994","1.098612","7.710205","8.810758","4.430817","8.907883","9.011889","8.223895","4.025352","8.169903","5.937536","5.236442","6.643790","5.379897","4.934474","5.723585","6.218600","8.928773","4.852030","8.148446","5.476464","6.541030","8.907477","6.356108","7.496097"
"TCGA-DD-AACD-01","6.104793","7.912423","5.783825","6.035481","5.411646","3.091042","0.000000","7.381502","0.000000","6.436150","7.679714","3.135494","9.442642","8.448486","8.153925","3.218876","7.515889","4.394449","3.526361","6.507278","4.564348","3.044522","6.633318","6.255750","8.470311","2.302585","7.413970","3.178054","7.750615","7.781139","5.283204","6.311735"
"TCGA-NI-A8LF-01","7.7702232","8.8906859","6.0913099","6.9255952","6.9920964","4.0430513","0.6931472","9.1695184","3.5553481","6.5337888","8.2013860","4.4886364","9.2014005","7.6343372","7.4593389","4.5432948","8.4073783","6.3681872","4.9126549","6.5264949","4.7449321","3.7376696","6.0822189","5.9964521","8.3005286","2.4849066","7.8296304","2.9444390","7.1853870","8.3219080","6.1092476","7.9707404"
"TCGA-DD-AAE7-01","5.7714411","8.0693424","5.7807435","6.1800167","6.0707377","3.3672958","0.6931472","8.3954774","0.0000000","6.8977049","7.2348984","4.4426513","7.4223737","7.7790486","6.8793558","4.1431347","8.0900958","5.3844951","4.0073332","5.6869754","5.0434251","4.6539604","4.8828019","4.3944492","7.9575274","3.7612001","7.3594676","2.3025851","5.0562458","7.6083745","5.6167711","6.5875500"
"TCGA-GJ-A9DB-01","6.986566","8.859647","6.556778","6.902743","7.119636","4.836282","1.386294","9.219003","0.000000","7.007601","7.947325","3.931826","8.105308","8.740977","7.391415","4.406719","8.282230","7.018402","5.429346","6.169611","5.648974","5.666427","6.597146","6.826545","9.247636","4.682131","8.462948","3.258097","3.218876","8.254529","6.670766","7.416980"
"TCGA-DD-A3A3-01","6.6515719","7.7570511","5.6489742","6.3699010","6.0844994","3.3672958","0.6931472","8.2222851","0.0000000","5.8805330","8.7895078","1.9459101","8.5289241","8.6827076","7.9398716","1.7917595","8.1931237","5.0106353","4.0943446","6.1758673","4.0430513","3.3672958","6.4815771","4.4308168","8.5911869","5.5683445","7.5294065","3.4339872","9.7057071","7.7301748","5.0172798","6.4441313"
"TCGA-DD-A1ED-01","6.7934661","9.1882992","7.0157124","6.9565454","7.2305632","4.3567088","0.6931472","9.5730371","1.3862944","9.4762369","7.6415644","4.2766661","8.3677647","8.4377170","7.5427435","4.3307333","8.2882830","6.7190132","4.0073332","6.2285110","4.8202816","5.7493930","5.7235851","5.9687076","8.3859449","5.4595855","8.0799278","2.9444390","8.3829758","8.5199893","6.6106960","7.8196363"
"TCGA-EP-A2KB-01","6.830874","8.900822","7.062192","7.435438","7.512071","4.330733","1.098612","9.304104","7.568379","7.172425","8.876265","2.397895","8.484257","8.982938","7.687539","3.465736","8.423322","6.867974","5.905362","6.510258","5.267858","5.459586","6.703188","8.601718","9.290537","2.890372","8.539542","2.564949","6.823286","8.090096","6.131226","6.870053"
"TCGA-DD-AACN-01","6.7878450","8.7293971","6.6476884","6.8617113","6.7105231","4.0775374","0.0000000","9.3724592","0.6931472","7.9926067","8.7607666","5.8636312","8.4926956","8.6429444","7.5054923","5.3033049","8.1775158","6.1527327","5.1984970","6.5496507","4.7535902","5.0625950","6.3007858","7.5595595","9.0186955","2.9444390","8.0743377","3.8712010","9.7187832","7.8220440","6.0730445","8.1193986"
"TCGA-DD-A1EF-01","6.831954","8.395477","6.234411","6.555357","6.855409","4.304065","0.000000","9.170664","5.942799","5.411646","7.996654","4.143135","8.064636","8.696510","7.006695","2.995732","7.566828","6.575076","4.890349","6.302619","3.761200","5.225747","5.638355","6.869014","8.827175","2.708050","7.903966","3.970292","7.436028","7.342779","5.407172","7.116394"
"TCGA-DD-A11D-01","6.467699","8.312135","5.459586","6.302619","6.150603","3.218876","0.000000","9.182661","0.000000","7.657283","7.761745","3.433987","8.095904","7.514255","7.066467","3.135494","7.653969","5.846439","3.806662","5.905362","4.330733","5.351858","5.411646","4.927254","8.195334","4.736198","7.290975","4.672829","6.572283","7.655391","5.407172","7.104965"
"TCGA-DD-AADJ-01","6.3561077","8.0567438","5.8721178","6.7696420","6.4035742","3.5263605","1.0986123","7.9341552","3.7376696","6.6883547","8.2829887","1.7917595","8.3395009","8.1794802","7.5806998","3.6109179","8.1911860","4.8675345","4.0604430","6.3315018","4.9698133","3.9702919","6.3421214","7.0246490","8.5438351","0.6931472","7.5683793","2.4849066","2.3025851","7.9868449","4.8040210","5.9375362"
"TCGA-DD-AADW-01","7.620215","9.183996","7.310550","7.653020","7.703008","4.709530","1.945910","9.342245","1.791759","7.878155","9.538996","4.770685","8.936298","9.408371","7.925880","5.153292","8.646817","7.261225","7.094235","7.121252","5.736572","5.164786","7.446585","8.843182","9.074406","3.931826","8.504513","4.406719","9.546670","8.178077","6.525030","7.826842"
