CNOT4,UBE2D2
COIL,CEP70
COIL,DHX16
COIL,KPNA3
COIL,SART3
COIL,TGS1
CREB3L4,EGR1
CSNK1A1,ATF2
CSNK1A1,ATF5
CSNK1A1,EGR1
CSNK1A1,HMGB2
CSNK1A1,MDM4
CSNK1A1L,APC
CSNK1A1L,APC2
CSNK1A1L,AXIN2
CSNK1A1L,CTNNB1
CSNK2A1,ATF2
CSNK2A1,BDP1
CSNK2A1,BRCA1
CSNK2A1,CUX2
CSNK2A1,EGR1
CSNK2A1,HMGA1
CSNK2A1,MAZ
CSNK2A1,SSRP1
CSNK2A1,ZHX1
CTNNB1,CSNK2A1
CTNNB1,EGR1
CTNNB1,ESR1
CTNNB1,FYN
CTNNB1,NDRG1
CTNNB1,PTGS2
CTNNB1,PTPN13
CTNNB1,SMAD3
CTNNB1,SMARCA4
CTNNB1,STARD7
CTNNB1,TERT
CTNNBL1,STAMBP
CYP1A2,CYP26A1
CYP1A2,CYP2C19
CYP1A2,CYP2J2
CYP1A2,GSTO2
CYP1A2,NAT2
CYP26A1,CYP2B6
CYP26A1,POU2F1
CYP2A6,CYP2B6
CYP2A6,CYP2C9
CYP2A6,NFYA
CYP2A7,CYP26A1
CYP2C8,CYP26A1
CYP2C9,CYP26A1
CYP2C9,NCOA6
CYP2C9,NR1I2
CYP8B1,AKR1D1
CYP8B1,TP53
DACH1,UBE2I
DBF4,E2F1
DBF4,E2F4
DBF4,EGR1
DBF4,MCM2
DBF4,MCM3
DBF4,MCM6
DCN,NR1H4
DCN,POU2F1
DCTN2,EGR1
DCTN2,EGR3
DCTN2,TUBA1B
DCTN4,HSF2
DCTN4,TUBA1B
DDB2,CUL4A
DDB2,CUL4B
DDX20,DHX9
DDX20,GEMIN5
DDX20,SNRPD2
DDX20,SNRPE
DDX20,SNRPF
DGKQ,PLCD3
DGKZ,EGR1
DGKZ,EGR3
DGKZ,PLCD3
DNAJC2,HSPA14
DNMT1,BIRC5
DNMT1,DNMT3A
DNMT1,EPCAM
DNMT1,EZH2
DNMT1,MSH2
DNMT1,NPM1
DNMT1,PROM1
DNMT1,TSG101
DNMT3A,CBX1
DNMT3A,EZH2
DNMT3A,POU2F1
DNMT3A,SETDB1
DNMT3A,SUV39H1
DNMT3A,TCF3
DPF1,NFYA
DR1,EGR1
DR1,NR1I2
DR1,NR2C2
DR1,POLE3
DR1,PTGS2
DTYMK,NFYA
DTYMK,TK1
DTYMK,TYMS
DUSP1,ATF2
DUSP1,ATF5
DUSP1,E2F1
DUSP1,MYC
DUSP1,NFE2L2
