"","gene1","gene2","weight"
"459","CDKN1A","SMAD3","-0.227676794163077"
"460","CDKN1A","SMARCA4","-0.00835580214222686"
"461","CDKN1A","TAF5","-0.207212452475828"
"462","CDKN1A","NELFCD","-0.384286847732795"
"463","CDKN1A","TSG101","-0.227976739325458"
"465","CDKN2A","CDK4","0.192977890200986"
"466","CDKN2A","DNMT3A","-0.263527054241122"
"467","CDKN2A","EGR1","-0.266631699345218"
"468","CDKN2A","ETS2","-0.526182432817999"
"469","CDKN2A","EZH2","0.0666534376218545"
"470","CDKN2A","FOXM1","0.370568694839187"
"471","CDKN2A","HDAC1","-0.359216116499969"
"472","CDKN2A","HDAC4","0.0844141386336062"
"473","CDKN2A","MCM2","-0.00781794436180815"
"474","CDKN2A","MYC","-0.118701678917134"
"475","CDKN2A","SMARCA4","-0.314467303585304"
"476","CDKN2A","SMARCB1","-0.198513074010122"
"477","CDKN2C","EGR3","0.143968315128639"
"478","CDKN2C","WDR5","0.615203497848096"
"479","CDKN2C","RBBP5","0.313233645038322"
"481","CFI","C3","0.318722848224923"
"482","CITED2","LHX2","0.732396800174226"
"483","CKS1B","NFYC","-0.143889740717074"
"484","CKS1B","SKP2","0.269274464596251"
"485","CKS2","YBX1","0.0910206605430174"
"486","NPM1","NCL","0.503992777682295"
"487","NPM1","NOP2","0.402115612859863"
"488","NPM1","TCERG1","0.183904776658775"
"489","NPM1","XPO1","-0.0292767373512938"
"490","CLEC4M","IL10","0.093458799232683"
"491","CLOCK","CSNK1D","0.0467294076977844"
"492","CNDP1","CNDP1","1"
"493","CNOT3","CAND1","0.550832000132191"
"494","CNOT3","CNOT1","-0.165043286704283"
"495","CNOT4","CNOT1","-0.367971380946671"
"496","CNOT4","UBE2D2","0.317938634214447"
"497","CNOT6","CNOT6","1"
"498","COIL","CEP70","-0.100004509046503"
"499","COIL","COIL","1"
"500","COIL","KAZN","-0.141146363942929"
"501","COIL","KPNA3","-0.36833511352892"
"502","COIL","PSMA1","-0.487766255161198"
"503","COIL","SART3","0.593004779778254"
"504","CREB3L2","EGR1","-0.123247112067061"
"505","CREB3L4","EGR1","-0.185913063568232"
"506","CSNK1A1","HMGB2","-0.499371885741587"
"507","CSNK1A1","MDM4","0.235446795181838"
"508","CSNK1A1L","APC","-0.0962649342532129"
"509","CSNK1A1L","APC2","0.551552435602439"
"510","CSNK1A1L","AXIN1","0.139686691805411"
"511","CSNK2A1","ATF2","0.630008195779214"
"512","CSNK2A1","BDP1","0.296682302002508"
"513","CSNK2A1","BRCA1","0.46048834942999"
"514","CSNK2A1","CUX2","-0.274211210490771"
"515","CSNK2A1","EGR1","0.491498728391139"
"516","CSNK2A1","HMGA1","-0.250709473826395"
"517","CSNK2A1","UBTF","-0.303835174890063"
"518","CSNK2A1","SSRP1","0.651298438127294"
"519","CSNK2A1","ZHX1","-0.112388181957386"
"520","CTCF","CTCF","1"
"521","CTNNA1","FOSB","0.0415244637351922"
"522","CTNNB1","CTNNB1","1"
"523","CTNNBL1","STAMBP","-0.323981773950183"
"524","CYP1A2","CYP26A1","0.557690614930417"
"525","CYP1A2","CYP2C19","0.30194653763833"
"526","CYP1A2","CYP2C8","0.409501799003337"
"527","CYP1A2","CYP2C9","0.211566520550616"
"528","CYP1A2","CYP2J2","0.508770222009824"
"529","CYP1A2","FOS","0.570192902034629"
"530","CYP1A2","GSTO2","-0.454091840637465"
"531","CYP1A2","NAT2","0.563493260816821"
"532","CYP26A1","CYP2B6","0.782944864942902"
"533","CYP26A1","POU2F1","-0.493643017302188"
"534","CYP2A6","CYP26A1","0.441300423677236"
"535","CYP2A6","CYP2B6","0.4889073386465"
"536","CYP2A6","CYP2C9","0.76403518756687"
"537","CYP2A7","CYP26A1","0.427698547431323"
