"","C-1","C-2","C-3","C-4","C-5","C-6","C-7","C-8","C-9","C-10","C-11","C-12","C-13"
"NGFR",4.703321552,4.648447661,4.607421081,5.227385011,4.820499658,4.606442357,4.427961547,4.778144225,4.795558708,4.711347265,4.561379003,5.166654963,5.395603184
"NHEJ1",4.74796788,4.973866174,4.636792249,4.728022119,4.735170012,4.871436227,4.83692382,4.730387997,4.66874884,4.624846024,4.726636677,4.990500169,4.982190592
"NIF3L1",9.151896825,9.246489368,9.448705606,8.982569839,9.441710581,9.044575204,9.221283192,9.074121596,8.86832806,9.016909555,9.404301842,9.310635662,9.258273801
"NIPAL3",6.510626127,6.562091261,6.48043006,6.796647296,7.230217715,6.535680798,6.981226052,6.875783433,6.661948096,6.422288715,6.534005777,6.864372376,6.320701554
"NIPBL",8.255093185,7.770381884,8.274810797,8.513837992,8.107982548,7.971862363,8.148488884,8.341961267,7.997122646,8.150215649,8.64203448,8.571093017,8.232228919
"NIT2",9.835703299,10.05344095,9.987861078,8.617556915,10.32512012,9.748817983,10.13620764,10.21959287,9.471497514,9.78188802,9.953214499,9.805727211,10.24306867
"NKD2",6.428003765,6.922443048,6.551135512,8.995439156,6.68936115,7.593201051,6.516603703,6.212008046,7.575009026,7.614535881,6.000098696,7.04200559,6.439609964
"NKIRAS2",5.83246817,6.303828466,5.971866138,6.265755894,5.429299324,5.914982187,4.805145079,6.962624005,5.882417063,5.607134068,5.443413346,5.872736334,6.223369225
"NME1",10.42028299,10.97326186,10.61462356,10.6894597,11.3883764,10.63859348,10.79271529,11.09349714,11.49418533,10.63182321,10.58718382,11.04719063,11.04297315
"NMRK1",8.350436413,7.984532229,7.427566304,7.284681687,7.127626441,7.567017746,8.085152779,8.252105654,7.613802273,7.917848412,8.512146836,8.087215691,8.524295216
"NNMT",11.86105046,12.53355107,12.7762766,12.7762766,12.04036229,12.72121247,11.93712806,12.45560136,13.58877583,13.19774397,11.99014642,12.1825887,12.5579393
"NNT",9.760517574,9.516869736,10.01886695,8.543878306,9.97404165,9.803469385,9.398137291,9.468294418,9.323118388,9.414680906,9.617304203,9.054747609,9.7409538
"NOL11",8.783135168,8.661031502,9.166050642,9.122577132,8.884092558,8.872830715,8.63146079,9.176269826,8.915620752,8.659705058,9.016909555,9.014406076,8.930071543
"NOL7",10.5229167,10.47909061,10.41470192,10.95432279,10.68836516,10.53112689,10.77968468,10.55890196,10.65792519,10.35063073,10.4284721,10.68836516,10.59375405
