"","from","to"
"449","ARID1A","SMARCA4"
"450","MYC","PHF10"
"451","KDM3B","ACTL6B"
"452","SMARCA2","ACTL6B"
"453","MYC","ACTL6A"
"454","RUVBL1","ACTL6A"
"455","SMARCA2","ACTL6A"
"456","SMARCA4","ACTL6A"
"457","MYC","SMARCD1"
"458","SMARCC1","SMARCD3"
"459","E2F4","SMARCE1"
"460","E2F5","SMARCE1"
"461","E2F2","SMARCE1"
"462","ESR1","SMARCE1"
"463","SMARCA4","SMARCE1"
"464","RAC1","ABL2"
"465","MYC","ABL2"
"466","B4GALT3","ATF5"
"467","PIP4K2B","ATF5"
"468","PCYT1A","ATF5"
"469","SHC3","ATF5"
"470","MAP2K1","ATF5"
"471","DUSP1","ATF5"
"472","E2F4","ATF5"
"473","E2F5","ATF5"
"474","WNT2","ATF5"
"475","WNT10A","ATF5"
"476","LRP6","ATF5"
"477","ELAVL1","ATF5"
"478","SMARCD1","ATF5"
"479","E2F4","BARD1"
"480","MYC","BARD1"
"481","BARD1","BARD1"
"482","CSNK2A1","BDP1"
"483","IGF1","BRCA1"
"484","EGFR","BRCA1"
"485","BRCA2","BRCA1"
"486","FANCD2","BRCA1"
"487","PCNA","BRCA1"
"488","CCNB1","BRCA1"
"489","CCNA2","BRCA1"
"490","HDAC1","BRCA1"
"491","MYC","BRCA1"
"492","SMAD2","BRCA1"
"493","CSNK2A1","BRCA1"
"494","ETS2","BRCA1"
"495","SMARCA4","BRCA1"
"496","BRCA1","BRCA1"
"497","DVL1","BRD7"
"498","LAMA4","BRD7"
"499","NAMPT","CLOCK"
"500","CTCF","CTCF"
"501","DNMT1","DNMT1"
"502","CDKN2A","DNMT3A"
"503","CDKN1A","DNMT3A"
"504","HDAC1","DNMT3A"
"505","IGFBP3","DNMT3A"
"506","MYC","DNMT3A"
"507","SFRP1","DNMT3A"
"508","SFRP5","DNMT3A"
"509","ESR1","DNMT3A"
"510","EBF1","EBF1"
"511","EGR1","EGR1"
"512","MAP2K2","EGR2"
"513","CDKN2C","EGR2"
"514","SMG7","EGR2"
"515","RRAGC","EGR2"
"516","PRKAA2","EGR2"
"517","FZD3","EGR2"
"518","PRKAG1","EGR2"
"519","CCNE1","EGR2"
"520","PRKCD","EGR2"
"521","FRMD6","EGR2"
"522","GNB1","EGR2"
"523","CAMK2B","EGR2"
"524","MYO10","EGR2"
"525","DYNLL1","EGR2"
"526","DCTN2","EGR2"
"527","ATP6V1F","EGR2"
"528","IGF2","EGR2"
"529","CAMK1","EGR2"
"530","SMARCD2","EGR2"
"531","CDKN2C","EGR3"
"532","PDPK1","EGR3"
"533","PPP2CB","EGR3"
"534","DGKZ","EGR3"
"535","RRAGC","EGR3"
"536","RPS6KA3","EGR3"
"537","PRKAA2","EGR3"
"538","WNT5A","EGR3"
"539","LRP5","EGR3"
"540","CCNE1","EGR3"
"541","PRKCD","EGR3"
"542","FRMD6","EGR3"
"543","ACTG1","EGR3"
"544","CAMK2B","EGR3"
"545","MYO10","EGR3"
"546","DYNLL1","EGR3"
"547","DCTN2","EGR3"
"548","ATP6V1F","EGR3"
"549","IGF2","EGR3"
"550","CAMK1","EGR3"
"551","SMARCD2","EGR3"
"552","SMARCD3","EGR3"
"553","TGFBR2","ETV4"
"554","AGTR1","ETV4"
"555","MYC","ETV4"
"556","ETS2","ETV4"
"557","SMS","EZH2"
"558","AKT1","EZH2"
"559","CCND1","EZH2"
"560","CCNE1","EZH2"
"561","PTEN","EZH2"
"562","DNMT3A","EZH2"
"563","GSTP1","FOSB"
"564","SHC3","FOSB"
"565","GADD45B","FOSB"
"566","TGFB1","FOSB"
"567","YWHAG","FOSB"
"568","ANAPC5","FOSB"
"569","NEDD4L","FOSB"
"570","WNT1","FOSB"
"571","DVL2","FOSB"
"572","CTNNA1","FOSB"
"573","ATF5","FOSB"
"574","HDAC4","HDAC4"
"575","E2F4","HLTF"
"576","CDK1","HMGA1"
"577","PRKDC","HMGB2"
"578","E2F5","HMGB2"
"579","E2F2","HMGB2"
"580","CSNK1A1","HMGB2"
"581","PPP2R1A","HSF2"
"582","HSP90AA1","HSF2"
"583","DCTN4","HSF2"
"584","RB1","ID2"
"585","TERT","ID2"
"586","ID2","ID2"
"587","PRKDC","ILF2"
"588","ILF2","ILF3"
"589","JUNB","JUNB"
"590","PIK3R1","KHDRBS1"
"591","PLCG1","KHDRBS1"
"592","PLCG2","KHDRBS1"
