"","aHCC-1","aHCC-2","aHCC-3","aHCC-4","aHCC-5","aHCC-6","aHCC-7","aHCC-8","aHCC-9","aHCC-10","aHCC-11","aHCC-12"
"ANGPTL6",9.415245322,7.003491845,8.596912654,5.909406259,9.337362305,6.938153611,5.955707003,8.335447544,8.75096467,5.035802203,5.377531099,5.709752667
"ANK3",5.021143841,4.921590027,5.964135916,4.945052516,6.794220714,5.322819008,4.98638001,5.634208585,5.336094704,6.573026478,5.13248017,5.074344746
"ANKH",4.951369036,4.675475683,4.502398162,4.605895389,4.517140264,4.619917166,4.603126503,4.582066945,4.620414918,4.355334204,4.632391671,4.50262557
"ANKRD27",5.219568901,5.32073421,4.646212885,4.644390762,4.707737143,4.651091178,4.71644998,4.440738743,4.710632042,4.785550847,4.651462512,4.58927025
"ANKZF1",6.967398321,7.961157754,7.921575097,8.136032084,7.388691002,7.579495629,7.465951009,6.89996897,7.415569936,7.70710692,7.178819524,7.455971792
"ANLN",6.625019619,5.324022951,4.801015805,6.373475353,4.562609849,6.412100643,6.404681127,4.715297266,4.700634777,5.556265604,6.584948078,5.332389752
"ANP32B",11.91944894,10.47426031,11.37347211,12.46155141,12.27704764,13.13246103,12.58696283,11.72586247,11.97486197,12.9282544,12.21980725,12.04036229
"ANP32E",4.670902776,4.546749211,4.658225251,4.794224621,4.564619443,4.467767594,4.399619645,4.559315913,4.60892989,4.418635219,4.490676535,4.435194731
"ANTXR2",8.681039979,9.30600966,8.486159418,8.465042026,9.692912657,8.144530851,7.288609858,9.175704622,8.783621012,8.702133253,8.432519628,7.620238425
"ANXA10",8.517442257,7.999518281,6.957188232,7.268360707,8.85836474,9.38458059,11.47065282,10.83132206,11.3138098,4.846244231,9.386853038,8.318890675
"ANXA3",4.841068533,4.421280402,4.491820341,4.474052148,5.303892809,4.455758925,4.687444767,4.589163437,4.509509399,5.300629326,4.506375823,4.399778221
"ANXA4",6.108150247,6.260471318,5.763654654,4.780186034,7.36208532,5.438078385,6.228846179,5.36503716,6.217748904,7.578378118,5.802976602,5.499189313
"AOC1",4.808335642,4.499733493,4.582840452,5.152866051,4.717534048,4.913444776,4.74083453,4.717938975,6.438230764,4.748146257,4.929985298,4.822536857
"AP1S1",8.132785427,7.888445825,7.716094472,8.606050819,8.246896031,8.996365531,8.711049643,8.662290342,7.888445825,8.496309886,8.050523943,8.441104892
"AP3B1",9.964347596,9.731737609,9.773345235,10.36253698,9.923598403,10.04090364,10.07870393,9.490441507,9.776907884,10.54109178,10.08337656,10.27329989
"AP3S1",8.654626761,8.295133512,8.235728655,8.975335339,8.7969313,9.406610045,8.55859699,9.342729956,8.675438261,8.763506862,9.216088517,8.644716747
"AP5M1",7.993657898,7.417364946,7.190219262,6.441397425,7.484632066,7.841992438,7.689590738,7.70252652,7.701114575,6.837746949,8.204778687,7.189918296
"APBB3",10.64829966,11.7118316,11.57168199,9.07316346,10.43960962,10.61808681,11.69019112,10.36683663,11.4864658,9.675358489,10.90277178,11.18947982
"APC",4.609290932,4.597198939,4.598263097,4.599881286,4.667947098,4.418353746,4.4712041,4.635526553,4.507336462,4.581555905,4.440856429,4.55678059
"APC2",4.594673939,4.686947145,4.650142749,4.754155448,4.800194246,4.970578559,5.059512383,5.283898146,4.570390589,4.941684586,4.861507069,4.68901522
"APH1A",9.90690419,9.5629169,9.358576052,9.996548593,9.794874462,10.17822917,10.26356698,9.770191776,9.792090135,10.60413803,10.56311003,10.48515893
"APIP",8.029419062,8.614056248,7.707496903,8.952356716,8.280401403,9.766044334,8.134468054,7.975506237,8.218616164,8.041023965,8.686422719,8.291836137
"APOA1",14.85989068,14.87305649,14.80654541,13.65138404,13.38424707,13.97174048,13.34408219,14.46185118,14.49635619,13.17192734,14.30445751,14.78202348
"APOA5",10.88990602,11.9708252,9.146614646,8.482669867,10.30684229,10.68475181,10.02657224,11.75123487,12.46987575,5.004315368,10.23858008,11.20416843
"APOBEC3B",5.609718727,4.510024648,5.14748791,4.47540475,4.989830758,8.021827473,6.30552343,4.464437496,4.827608936,5.387038005,6.14113687,6.002956485
