"","HDN-1","HDN-2","HDN-3","HDN-4","HDN-5","HDN-6","HDN-7","HDN-8","HDN-9","HDN-10","HDN-11"
"AKR1C3",12.94305378,14.06347665,12.76952864,12.99101962,12.68048571,12.50026446,12.83143157,12.62865821,13.22602179,12.7347023,12.63221037
"AKR1D1",13.75506424,13.75506424,13.88478851,14.04640459,13.72351896,13.91809264,13.91809264,14.05472014,13.52791976,14.06347665,13.88478851
"AKT1",10.91226497,10.51224504,10.42554959,11.10940256,10.71664251,10.40970013,11.01617395,11.15616577,11.02579147,11.5919422,10.77584532
"AKT2",5.599917243,5.421617825,4.865213318,5.070454414,5.37771196,5.438271073,4.771109259,5.500884485,4.750229026,5.063628544,5.37095617
"AKT3",4.783751065,4.842609695,4.817826446,4.812616465,4.741286108,4.8882194,4.992455836,4.876158663,4.843977818,4.79870184,4.701714498
"ALB",15.21164625,15.30532618,15.03238135,15.21164625,15.14108917,15.19076697,15.26451205,15.26451205,15.17334396,15.15586653,15.04674202
"ALDH18A1",8.11755286,7.303756957,8.031540822,7.408420592,7.603282167,8.012637419,8.350877551,7.719972712,8.645982666,8.399179204,8.228465129
"ALDH1B1",8.918108895,8.112883267,8.133230027,7.776810383,7.051635709,7.997534987,7.598586346,8.5860001,7.616594213,6.996438144,8.323841937
"ALDH2",12.759031,12.37828033,13.32023584,13.39444557,12.82430184,12.8975242,12.94705689,12.87134726,11.92407519,12.93576157,13.01089375
"ALDH6A1",12.31689058,13.11063758,12.06348049,12.554639,12.46444583,12.6635191,12.47565436,12.33624471,10.7575491,11.81509645,12.46444583
"ALDOB",15.09185498,14.62897555,15.12138914,15.12138914,15.09185498,15.26451205,14.90643066,15.30532618,14.87305649,14.98014,15.10558798
"ALG6",7.511804699,7.757221385,7.463719262,7.93591992,7.40741776,7.362783825,7.35569381,7.710602135,7.282278516,7.056224692,7.275080349
"ALPL",10.87312872,11.16808999,10.56209027,11.75329918,11.50618329,11.38474166,12.5274452,11.21824977,11.54388908,12.51226009,11.30868207
"ALYREF",7.406090496,8.014518956,7.500032594,8.46637063,8.09757459,8.071877488,7.963473747,8.108395912,8.198705653,6.694007924,8.088825586
"AMBP",11.39441485,10.77709231,11.55090289,10.60715666,11.46432707,11.31041638,10.568447,11.12252154,10.50005159,10.16380693,11.23829138
"AMDHD1",12.08510184,12.64135404,10.81175705,11.16366795,11.99909837,11.83969745,11.66277881,10.96882818,10.35542051,12.24835189,11.30102035
