"","from","to"
"536","IGF1R","E2F2"
"537","FANCF","E2F2"
"538","FANCG","E2F2"
"539","TGFB2","E2F2"
"540","ENAH","E2F2"
"541","TGFBR1","E2F2"
"542","PCNA","E2F2"
"543","CDC45","E2F2"
"544","CDC6","E2F2"
"545","CCNA2","E2F2"
"546","E2F4","E2F2"
"547","E2F1","E2F2"
"548","SMS","E2F3"
"549","UXS1","E2F3"
"550","PIP4K2B","E2F3"
"551","GCH1","E2F3"
"552","GGPS1","E2F3"
"553","TP53","E2F3"
"554","CDKN1A","E2F3"
"555","RB1","E2F3"
"556","IGF1R","E2F3"
"557","FANCF","E2F3"
"558","FANCG","E2F3"
"559","TGFBR1","E2F3"
"560","CDK1","E2F3"
"561","PCNA","E2F3"
"562","PLK1","E2F3"
"563","CDC45","E2F3"
"564","CDC6","E2F3"
"565","CCNB1","E2F3"
"566","CCNA2","E2F3"
"567","E2F4","E2F3"
"568","E2F5","E2F3"
"569","E2F1","E2F3"
"570","E2F2","E2F3"
"571","EGFR","HDAC1"
"572","TP53","HDAC1"
"573","CDKN2A","HDAC1"
"574","CDKN1A","HDAC1"
"575","CCND1","HDAC1"
"576","RB1","HDAC1"
"577","BRCA2","HDAC1"
"578","PCNA","HDAC1"
"579","E2F1","HDAC1"
"580","CAD","HDAC2"
"581","IGF1","HDAC2"
"582","TP53","HDAC2"
"583","CDKN1A","HDAC2"
"584","RB1","HDAC2"
"585","TGFBR2","HDAC2"
"586","HDAC1","HDAC2"
"587","CCNB2","ANAPC5"
"588","CCNB2","ANAPC7"
"589","TP53","ANAPC11"
"590","CCNB2","ANAPC11"
"591","CCNB2","CDC23"
"592","CCNB2","CDC20"
"593","HDAC1","CDC20"
"594","HDAC2","CDC20"
"595","TP53","PPP1CC"
"596","RB1","PPP1CC"
"597","CDC25C","PPP1CC"
"598","IGF1","IGFBP3"
"599","TP53","IGFBP3"
"600","E2F4","IGFBP3"
"601","E2F5","IGFBP3"
"602","E2F1","IGFBP3"
"603","E2F2","IGFBP3"
"604","E2F3","IGFBP3"
"605","HDAC1","IGFBP3"
"606","EGFR","NEDD4L"
"607","EGFR","SH3GLB2"
"608","EHD3","RBSN"
"609","RBSN","VPS45"
"610","E2F1","DYNC1I2"
"611","MTOR","RRAGC"
"612","TSC1","RPS6KA3"
"613","MTOR","PRKAA2"
"614","TSC2","PRKAA2"
"615","E2F1","WNT1"
"616","TP53","WNT3"
"617","E2F4","WNT5A"
"618","E2F5","WNT5A"
"619","E2F1","WNT5A"
"620","E2F2","WNT5A"
"621","E2F3","WNT5A"
"622","E2F4","WNT9A"
"623","E2F5","WNT9A"
"624","E2F1","WNT9A"
