"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"gene","NFYA","E2F2","BRCA1","ARID1B","TCF3","PTGS2","ACTL6B","SMARCA2","MET","GAB1","ATF2","PLCG1","FOSB","ELK1","SMARCA4","E2F5","MYC","TPMT","ANXA3","TP53","PIK3R1","SHC3","GMPS","SMAD3","CTNNB1","ATF5","FOS","GRB2","IMPDH2","FAF1","ARID2","MZT1","E2F4"
"TCGA-RC-A7SB-02","6.545350","5.056246","5.846439","7.546446","7.545390","2.302585","1.098612","7.700748","8.801770","5.497168","7.497762","8.066835","5.252273","7.542744","8.290293","5.505332","7.780303","8.005033","3.891820","6.974479","9.221082","3.688879","7.471932","7.560080","9.191667","7.990915","6.539586","8.812397","7.837160","8.115222","6.308098","6.280396","6.892642"
"TCGA-DD-A39Z-02","6.3099183","4.7535902","5.1239640","5.9107966","6.7165948","0.6931472","0.0000000","7.1608459","8.3925366","5.6058021","6.6398758","5.7620514","3.2188758","6.6333184","7.8743588","3.4965076","5.8171112","7.9076516","2.0794415","7.0766538","6.6605751","1.3862944","7.1974354","7.0483864","8.1892445","6.3491390","5.5174529","7.9813916","8.9274468","7.5776338","5.7651911","5.6276211","6.6012301"
"TCGA-G3-A25X-02","6.752270","5.220356","6.424869","6.769642","7.180070","3.850148","1.386294","7.135687","8.519989","6.405228","7.018402","6.880384","6.642487","6.932448","8.908154","4.700480","7.396335","7.916443","4.094345","6.274762","6.784457","2.708050","8.430109","7.903596","8.527342","7.607381","7.586804","8.803875","8.944420","8.025189","6.311735","6.333280","7.343426"
"TCGA-CC-5261-02","7.961021","5.129899","6.363028","7.987524","7.985484","4.672829","1.098612","8.167352","8.106515","6.760415","7.483244","8.142063","6.694562","7.562162","8.658693","4.543295","6.693324","8.125631","5.525453","7.794823","8.619389","4.158883","8.131531","8.168203","9.485241","9.137339","8.256088","8.642768","8.115521","7.060476","7.119636","6.771936","7.293698"
"TCGA-G3-A5SI-02"," 5.823046"," 4.859812"," 5.863631"," 6.872128"," 6.573680"," 1.098612"," 2.639057"," 7.679251"," 8.097731"," 5.655992"," 7.197435"," 6.481577"," 6.093570"," 7.093405"," 7.614805"," 4.262680"," 5.384495"," 8.029107"," 2.484907"," 6.701960"," 8.849514"," 1.791759"," 8.246172"," 6.809039"," 8.739697","10.017976"," 7.589336"," 8.538955"," 7.780303"," 8.024862"," 6.133398"," 5.805135"," 6.126869"
"TCGA-DD-AAVU-02","6.152733","3.806662","5.105945","6.063785","7.185387","0.000000","2.995732","6.655440","8.546946","4.997212","6.950815","6.785588","3.496508","6.733402","8.047829","4.795791","8.381832","7.457032","1.609438","7.178545","7.663408","5.123964","7.134094","7.521318","8.418919","7.877018","4.521789","8.342602","9.131514","7.360740","5.105945","6.086775","6.735780"
"TCGA-DD-AACQ-02"," 7.138073"," 4.770685"," 5.986452"," 7.277939"," 6.701960"," 1.098612"," 2.639057"," 7.777793"," 8.769352"," 6.396930"," 7.545918"," 7.516977"," 4.330733"," 7.797702"," 8.301025"," 4.510860"," 6.709304"," 8.716372"," 2.484907"," 5.541264"," 8.716372"," 1.791759"," 7.129298"," 8.141772"," 9.362375","10.948910"," 5.472271"," 8.887929"," 8.383662"," 7.540090"," 6.652863"," 6.102559"," 7.344073"
"TCGA-G3-AAV5-02","6.5652650","4.7449321","5.9788858","7.1396603","8.1047035","2.0794415","0.6931472","8.0630629","8.9484560","5.6594822","7.3932631","7.0561753","4.4067192","7.6260828","8.5921151","5.0172798","9.3628898","8.2812177","2.9957323","7.5943812","8.3113983","5.4071718","7.8567068","7.6152983","9.3670877","7.7840570","7.5898415","8.9678866","9.3891558","8.4407440","6.0088132","6.3062753","7.9157132"
"TCGA-DD-A114-02","7.076654","6.159095","6.526495","7.418181","8.000685","4.564348","0.000000","8.204125","7.647786","6.222576","7.414573","7.576610","7.006695","7.290975","8.798606","5.318120","6.274762","7.506592","4.875197","7.522400","8.457655","3.761200","8.302514","7.085901","9.298168","7.648740","8.068090","8.953899","7.813592","7.720462","6.742881","5.973810","7.201916"
"TCGA-KR-A7K7-02","6.594413","5.556828","6.232448","6.664409","7.834392","1.386294","1.098612","7.142037","7.972121","5.010635","7.207119","7.149917","3.737670","6.959399","8.418698","5.303305","8.500657","6.933423","3.737670","8.194229","6.890609","2.079442","7.374002","7.351158","8.316789","7.916078","6.313548","8.491875","8.623533","7.336937","5.843544","6.280396","7.808323"
"TCGA-G3-A5SL-02","7.704361","3.367296","5.583496","7.139660","6.948897","2.833213","1.609438","8.341649","8.866158","6.536692","7.603399","7.786967","6.111467","6.826545","8.071843","5.476464","8.530307","8.981807","3.663562","7.276556","9.131622","5.081404","7.661527","8.230844","9.693630","6.975414","6.910751","8.746557","8.324094","7.641564","6.373320","5.966147","7.095893"
"TCGA-DD-AACG-02","6.025866","4.615121","5.942799","6.536692","6.287859","1.945910","1.098612","5.252273","8.007034","5.323010","6.685861","6.263398","3.401197","6.232448","7.110696","2.397895","7.552237","7.112327","2.079442","5.181784","6.327937","2.302585","7.442493","7.127694","8.641532","9.063579","4.564348","8.055792","8.864747","7.395722","5.676754","5.883322","6.711740"
"TCGA-QA-A7B7-02"," 7.463363"," 6.723832"," 7.765993"," 8.164226"," 7.938446"," 1.609438"," 1.609438"," 8.460623"," 7.608374"," 7.408531"," 8.388678"," 7.639642"," 4.753590"," 8.326033"," 8.664060"," 4.787492"," 6.391917"," 8.524169"," 4.488636"," 7.679251"," 8.381832"," 3.332205"," 8.648221"," 7.290293","10.486178","11.459103"," 5.849325"," 9.000360"," 8.798153"," 7.862882"," 7.251345"," 6.609349"," 7.851272"
"TCGA-FV-A495-02","5.602119","5.455321","5.669881","6.431331","7.069023","2.995732","1.945910","6.835185","8.272315","5.866468","6.359574","6.714171","4.394449","6.651572","7.928766","3.401197","6.122493","7.126087","4.762174","7.225481","7.204149","2.944439","7.103322","7.130099","8.487970","9.768240","5.929589","8.386173","8.469472","7.650645","5.774552","5.655992","6.805723"
"TCGA-ED-A4XI-02","6.693324","3.891820","4.624973","7.474205","6.810142","4.820282","2.079442","7.996654","9.069238","6.602588","7.294377","7.281386","7.588830","7.288244","7.713785","3.891820","6.928538","7.988543","5.049856","7.489412","8.309431","4.543295","7.268223","7.571988","9.370927","9.446755","9.490922","8.722254","7.794411","7.331715","6.432940","5.303305","7.089243"
"TCGA-LG-A6GG-02","6.799056","4.406719","5.313206","7.529406","6.934397","1.791759","1.386294","7.671361","9.420115","6.842683","7.920810","6.994850","7.098376","7.333023","7.446001","4.158883","6.453625","8.297294","2.484907","6.054439","8.662851","2.944439","7.482682","7.498316","9.148465","8.269501","8.903000","8.810310","8.040447","7.575585","6.470800","5.802118","6.655440"
"TCGA-G3-A3CJ-02"," 5.4930614"," 2.6390573"," 4.6347290"," 6.8394764"," 6.6895993"," 1.7917595"," 0.6931472"," 7.8188324"," 8.7673291"," 5.7714411"," 6.8721281"," 6.8012830"," 6.3733198"," 6.2126061"," 7.6260828"," 3.5835189"," 7.4223737"," 8.2190567"," 1.6094379"," 6.7810576"," 7.2174434"," 2.0794415"," 6.8648478"," 7.3323692"," 8.1208860","11.0749165"," 6.2672005"," 8.4801142"," 8.1613750"," 7.7240047"," 5.6131281"," 5.8289456"," 6.9382845"
"TCGA-DD-A1EA-02","6.298949","4.653960","6.244167","7.989221","7.340187","2.833213","0.000000","8.635154","9.267760","6.520621","7.832014","6.914731","6.926577","7.843456","8.196161","4.727388","7.716015","7.459339","3.806662","7.524561","9.166179","1.791759","7.859799","8.468213","9.655411","8.710290","7.371489","8.812695","7.783224","7.902118","7.145984","6.018593","7.515889"
"TCGA-ZS-A9CF-02","6.559615","5.564520","6.212606","6.813445","6.929517","3.044522","2.397895","8.632841","8.487352","6.996681","7.733684","6.799056","7.036148","7.438972","8.006368","5.147494","4.691348","8.072155","3.433987","6.439350","8.698514","2.772589","7.579679","7.540090","9.303649","8.196712","9.707108","8.832150","7.768533","7.646831","6.539586","6.169611","7.286192"
"TCGA-DD-AAVV-02"," 6.566672"," 4.709530"," 5.337538"," 7.189168"," 7.100852"," 3.367296"," 2.197225"," 7.469084"," 8.517193"," 5.666427"," 6.951772"," 7.173958"," 7.036148"," 7.161622"," 7.946618"," 4.564348"," 7.393263"," 8.065265"," 4.025352"," 7.024649"," 7.608374"," 3.218876"," 7.503841"," 7.423568"," 8.935377","11.001500"," 7.301148"," 8.640472"," 7.707063"," 7.248504"," 5.863631"," 5.733341"," 7.560080"
"TCGA-4R-AA8I-02","6.781058","4.605170","5.897154","6.736967","6.150603","4.584967","1.791759","8.437284","8.492286","6.045005","7.125283","6.755769","6.807935","7.053586","7.800982","4.691348","6.784457","7.941296","3.912023","6.624065","8.767329","4.025352","7.169350","7.639161","9.362375","8.984067","8.177797","8.657651","7.273093","7.603399","6.489205","6.192362","7.299121"
"TCGA-DD-AACJ-02","6.3207683","2.8903718","5.7589018","7.4265491","7.5883237","1.9459101","0.6931472","7.8773972","8.9146261","5.3798974","7.2399326","6.5889265","5.5683445","7.2019163","8.4142741","6.0234476","8.9560931","7.9892214","2.3025851","7.3085428","8.1191008","2.0794415","7.4742048","7.7865518","8.9548028","8.1613750","7.5963923","9.4330838","9.1862526","8.5032971","6.4645883","6.0684256","7.7432697"
"TCGA-ED-A7PY-02","6.282267","3.135494","4.804021","6.472346","6.820016","2.302585","1.791759","7.138073","8.712431","5.497168","7.184629","5.823046","3.806662","6.527958","7.613819","4.219508","6.745236","7.643962","2.772589","7.444833","7.513164","2.564949","7.255591","7.161622","8.251142","8.810609","5.808142","7.982416","7.730175","6.635947","6.186209","5.652489","6.396930"
"TCGA-RC-A6M6-02"," 6.885510"," 4.948760"," 6.595781"," 7.223296"," 7.756623"," 1.791759"," 1.791759"," 7.184629","11.297539"," 5.587249"," 7.439559"," 7.462215"," 4.584967"," 7.375256"," 6.216606"," 6.613384"," 7.855545"," 6.699500"," 4.859812"," 5.308268"," 6.908755"," 2.484907"," 7.826044"," 8.398860"," 9.446598"," 6.837333"," 7.880426"," 9.174817"," 9.298809"," 7.958577"," 6.350886"," 6.208590"," 7.858254"
"TCGA-UB-AA0U-02","7.553811","5.472271","6.803505","7.623153","7.446001","4.955827","2.890372","7.955425","9.035034","7.121252","7.007601","7.701200","6.208590","7.265430","8.234565","5.075174","6.793466","8.558143","4.234107","7.180831","8.964568","3.912023","7.913521","8.105609","9.301643","9.352621","8.218248","8.648046","8.341410","8.087025","6.785588","6.124683","7.018402"
