"","ENSEMBL","SYMBOL","ENTREZID"
"204","ENSG00000008128","CDK11A","728642"
"205","ENSG00000008130","NADK","65220"
"206","ENSG00000008196","TFAP2B","7021"
"207","ENSG00000008197","TFAP2D","83741"
"208","ENSG00000008226","DLEC1","9940"
"209","ENSG00000008256","CYTH3","9265"
"210","ENSG00000008277","ADAM22","53616"
"211","ENSG00000008282","SYPL1","6856"
"212","ENSG00000008283","CYB561","1534"
"213","ENSG00000008294","SPAG9","9043"
"214","ENSG00000008300","CELSR3","1951"
"215","ENSG00000008311","AASS","10157"
"216","ENSG00000008323","PLEKHG6","55200"
"217","ENSG00000008324","SS18L2","51188"
"218","ENSG00000008382","MPND","84954"
"219","ENSG00000008394","MGST1","4257"
"220","ENSG00000008405","CRY1","1407"
"221","ENSG00000008438","PGLYRP1","8993"
"222","ENSG00000008441","NFIX","4784"
"223","ENSG00000008513","ST3GAL1","6482"
"224","ENSG00000008516","MMP25","64386"
"225","ENSG00000008517","IL32","9235"
"226","ENSG00000008710","PKD1","5310"
"227","ENSG00000008735","MAPK8IP2","23542"
"228","ENSG00000008838","MED24","9862"
"229","ENSG00000008853","RHOBTB2","23221"
"230","ENSG00000008869","HEATR5B","54497"
"231","ENSG00000008952","SEC62","7095"
"232","ENSG00000008988","RPS20","6224"
"233","ENSG00000009307","CSDE1","7812"
"234","ENSG00000009335","UBE3C","9690"
"235","ENSG00000009413","REV3L","5980"
"236","ENSG00000009694","TENM1","10178"
"237","ENSG00000009709","PAX7","5081"
"238","ENSG00000009724","MASP2","10747"
"239","ENSG00000009765","IYD","389434"
"240","ENSG00000009780","FAM76A","199870"
"241","ENSG00000009790","TRAF3IP3","80342"
"242","ENSG00000009830","POMT2","29954"
"243","ENSG00000009844","VTA1","51534"
"244","ENSG00000009950","MLXIPL","51085"
"245","ENSG00000009954","BAZ1B","9031"
"246","ENSG00000010017","RANBP9","10048"
"247","ENSG00000010030","ETV7","51513"
"248","ENSG00000010072","SPRTN","83932"
"249","ENSG00000010165","METTL13","51603"
"250","ENSG00000010219","DYRK4","8798"
"251","ENSG00000010244","ZNF207","7756"
"252","ENSG00000010256","UQCRC1","7384"
"253","ENSG00000010270","STARD3NL","83930"
"254","ENSG00000010278","CD9","928"
"255","ENSG00000010282","HHATL","57467"
"256","ENSG00000010292","NCAPD2","9918"
"257","ENSG00000010295","IFFO1","25900"
"258","ENSG00000010310","GIPR","2696"
"259","ENSG00000010318","PHF7","51533"
"260","ENSG00000010319","SEMA3G","56920"
"261","ENSG00000010322","NISCH","11188"
"262","ENSG00000010327","STAB1","23166"
"263","ENSG00000010361","FUZ","80199"
"264","ENSG00000010379","SLC6A13","6540"
"265","ENSG00000010404","IDS","3423"
"266","ENSG00000010438","PRSS3","5646"
"267","ENSG00000010539","ZNF200","7752"
"268","ENSG00000010610","CD4","920"
"269","ENSG00000010626","LRRC23","10233"
"270","ENSG00000010671","BTK","695"
"271","ENSG00000010704","HFE","3077"
"272","ENSG00000010803","SCMH1","22955"
"273","ENSG00000010810","FYN","2534"
"274","ENSG00000010818","HIVEP2","3097"
"275","ENSG00000010932","FMO1","2326"
"276","ENSG00000011007","ELOA","6924"
"277","ENSG00000011009","LYPLA2","11313"
"278","ENSG00000011021","CLCN6","1185"
"279","ENSG00000011028","MRC2","9902"
"280","ENSG00000011052","NME1-NME2","654364"
"281","ENSG00000011083","SLC6A7","6534"
"282","ENSG00000011105","TSPAN9","10867"
"283","ENSG00000011114","BTBD7","55727"
"284","ENSG00000011132","APBA3","9546"
"285","ENSG00000011143","MKS1","54903"
"286","ENSG00000011198","ABHD5","51099"
"287","ENSG00000011201","ANOS1","3730"
"288","ENSG00000011243","AKAP8L","26993"
"289","ENSG00000011258","MBTD1","54799"
"290","ENSG00000011260","UTP18","51096"
"291","ENSG00000011275","RNF216","54476"
"292","ENSG00000011295","TTC19","54902"
"293","ENSG00000011304","PTBP1","5725"
"294","ENSG00000011332","DPF1","8193"
"295","ENSG00000011347","SYT7","9066"
"296","ENSG00000011376","LARS2","23395"
"297","ENSG00000011405","PIK3C2A","5286"
"298","ENSG00000011422","PLAUR","5329"
"299","ENSG00000011426","ANLN","54443"
"300","ENSG00000011451","WIZ","58525"
"301","ENSG00000011454","RABGAP1","23637"
"302","ENSG00000011465","DCN","1634"
"303","ENSG00000011478","QPCTL","54814"
"304","ENSG00000011485","PPP5C","5536"
"305","ENSG00000011523","CEP68","23177"
"306","ENSG00000011566","MAP4K3","8491"
"307","ENSG00000011590","ZBTB32","27033"
"308","ENSG00000011600","TYROBP","7305"
"309","ENSG00000011638","LDAF1","57146"
"310","ENSG00000011677","GABRA3","2556"
"311","ENSG00000012048","BRCA1","672"
"312","ENSG00000012061","ERCC1","2067"
"313","ENSG00000012124","CD22","933"
"314","ENSG00000012171","SEMA3B","7869"
"315","ENSG00000012174","MBTPS2","51360"
"316","ENSG00000012211","PRICKLE3","4007"
"317","ENSG00000012223","LTF","4057"
"318","ENSG00000012232","EXTL3","2137"
"319","ENSG00000012504","NR1H4","9971"
"320","ENSG00000012660","ELOVL5","60481"
"321","ENSG00000012779","ALOX5","240"
"322","ENSG00000012817","KDM5D","8284"
"323","ENSG00000012822","CALCOCO1","57658"
"324","ENSG00000012963","UBR7","55148"
"325","ENSG00000012983","MAP4K5","11183"
"326","ENSG00000013016","EHD3","30845"
"327","ENSG00000013275","PSMC4","5704"
"328","ENSG00000013288","MAN2B2","23324"
"329","ENSG00000013293","SLC7A14","57709"
"330","ENSG00000013297","CLDN11","5010"
"331","ENSG00000013306","SLC25A39","51629"
"332","ENSG00000013364","MVP","9961"
"333","ENSG00000013374","NUB1","51667"
"334","ENSG00000013375","PGM3","5238"
"335","ENSG00000013392","RWDD2A","112611"
"336","ENSG00000013441","CLK1","1195"
"337","ENSG00000013503","POLR3B","55703"
"338","ENSG00000013523","ANGEL1","23357"
"339","ENSG00000013561","RNF14","9604"
"340","ENSG00000013563","DNASE1L1","1774"
"341","ENSG00000013573","DDX11","1663"
"342","ENSG00000013583","HEBP1","50865"
"343","ENSG00000013588","GPRC5A","9052"
"344","ENSG00000013619","MAMLD1","10046"
"345","ENSG00000013725","CD6","923"
"346","ENSG00000013810","TACC3","10460"
"347","ENSG00000014123","UFL1","23376"
"348","ENSG00000014138","POLA2","23649"
"349","ENSG00000014164","ZC3H3","23144"
"350","ENSG00000014216","CAPN1","823"
"351","ENSG00000014257","ACP3","55"
"352","ENSG00000014641","MDH1","4190"
"353","ENSG00000014824","SLC30A9","10463"
"354","ENSG00000014914","MTMR11","10903"
"355","ENSG00000014919","COX15","1355"
"356","ENSG00000015133","CCDC88C","440193"
"357","ENSG00000015153","YAF2","10138"
"358","ENSG00000015171","ZMYND11","10771"
"359","ENSG00000015285","WAS","7454"
"360","ENSG00000015413","DPEP1","1800"
"361","ENSG00000015475","BID","637"
"362","ENSG00000015479","MATR3","9782"
"363","ENSG00000015520","NPC1L1","29881"
"364","ENSG00000015532","XYLT2","64132"
"365","ENSG00000015568","RGPD5","84220"
"366","ENSG00000015592","STMN4","81551"
"367","ENSG00000015676","NUDCD3","23386"
"368","ENSG00000016082","ISL1","3670"
