"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","MARCO","TARBP1","ASPM","PABPC1","HMMR","TUBE1","CLEC4M","CAP2","DNAJC6","CFP","ANGPTL6","LYVE1","STAB2","OIT3","CYP1A2","FCN3","PPOX","ECM1","NVL","CRHBP","TIMD4","RSPO3","CLTRN","NAT2","FCN2","DIRAS3","GMPS","DNASE1L3","CLEC1B","MFSD2A","ITLN1","CLEC4G","COLEC10"
"TCGA-DD-A11B-00","5.8916442","5.4971682","3.4011974","9.1047576","2.6390573","6.6240652","5.3890717","5.2149358","3.4011974","3.2580965","5.8318825","5.6419071","6.1398846","7.3018223","8.8931608","7.7463007","5.2311086","7.1546154","4.7273878","7.2513450","2.3025851","4.2484952","6.1548581","7.3145528","6.5132301","5.4026774","6.2344107","7.4593389","5.5373343","8.8170014","2.7725887","0.6931472","6.6385678"
"TCGA-DD-A11D-00"," 8.182559"," 6.177944"," 4.043051"," 9.574011"," 3.332205"," 7.247793"," 7.639642"," 5.590987"," 2.772589"," 4.488636"," 6.475433"," 7.318540"," 7.427739"," 7.820841","10.863259"," 9.128262"," 5.533389"," 7.873978"," 5.267858"," 8.110127"," 5.332719"," 5.501258"," 5.961005"," 7.611842"," 8.325306"," 5.181784"," 7.010312"," 8.759826"," 6.120297"," 8.821585"," 4.727388"," 0.000000"," 7.342779"
"TCGA-FV-A3R2-00","8.395929","5.602119","2.890372","9.745663","2.772589","6.575076","7.501634","5.209486","2.484907","3.912023","6.769642","6.871091","7.089243","8.052933","9.037533","8.310661","5.924256","7.875499","5.384495","7.023759","5.407172","5.075174","6.156979","7.009409","8.049427","5.517453","6.916715","8.498214","5.247024","6.758095","5.164786","1.098612","7.358194"
"TCGA-DD-A3A1-00"," 8.928243"," 4.859812"," 2.302585"," 9.330875"," 1.791759"," 5.575949"," 6.908755"," 4.060443"," 2.197225"," 3.931826"," 5.840642"," 6.467699"," 6.848005"," 7.620705","10.200105"," 8.843904"," 5.852202"," 7.093405"," 4.219508"," 7.808323"," 6.295266"," 4.595120"," 5.609472"," 6.642487"," 8.165648"," 3.737670"," 6.073045"," 8.408271"," 5.869297"," 8.670258"," 5.988961"," 0.000000"," 6.850126"
"TCGA-EP-A12J-00","7.581720","5.605802","4.356709","9.177507","3.295837","7.260523","6.313548","5.379897","3.218876","3.806662","5.986452","6.373320","6.049733","7.492760","9.169831","8.227108","5.099866","7.038784","4.962845","7.446001","4.795791","4.691348","6.148468","7.016610","6.641182","4.744932","6.575076","7.629004","5.451038","8.788746","4.304065","0.000000","6.975414"
"TCGA-BC-A10T-00"," 7.331715"," 4.941642"," 2.772589"," 9.230731"," 2.639057"," 6.834109"," 7.391415"," 4.605170"," 2.995732"," 3.178054"," 6.297109"," 7.494986"," 6.548219"," 8.517193","10.182633"," 7.985144"," 5.159055"," 7.868254"," 4.969813"," 7.946971"," 4.844187"," 5.602119"," 6.214608"," 6.508769"," 7.667626"," 5.627621"," 6.834109"," 8.479907"," 5.886104"," 6.895683"," 3.258097"," 0.000000"," 7.549083"
"TCGA-DD-A113-00"," 7.477038"," 5.347108"," 3.178054"," 9.516353"," 2.772589"," 6.276643"," 6.556778"," 5.579730"," 2.944439"," 3.663562"," 6.284134"," 5.996452"," 5.703782"," 7.848543","11.372536"," 8.116716"," 5.484797"," 7.432484"," 5.023881"," 7.064759"," 4.382027"," 4.753590"," 5.913503"," 7.978654"," 6.915723"," 5.652489"," 6.791221"," 7.412764"," 5.347108"," 9.213635"," 4.969813"," 0.000000"," 7.141245"
"TCGA-BD-A3EP-00"," 7.979681"," 5.700444"," 3.526361"," 9.479375"," 2.890372"," 6.595781"," 6.989335"," 4.859812"," 2.639057"," 4.158883"," 6.424869"," 6.906755"," 6.538140"," 8.259976","10.057624"," 8.332308"," 5.476464"," 7.409742"," 5.017280"," 7.760467"," 5.488938"," 4.762174"," 5.894403"," 7.307873"," 7.607878"," 6.669498"," 6.983790"," 8.252185"," 5.655992"," 7.430114"," 3.951244"," 0.000000"," 7.247793"
"TCGA-EP-A3RK-00"," 6.9754139"," 5.3981627"," 4.3307333"," 9.4583716"," 4.3174881"," 7.3613754"," 6.7214257"," 4.6151205"," 1.3862944"," 3.2958369"," 6.6093492"," 6.7810576"," 6.3851944"," 8.0261702","10.8284605"," 6.5708830"," 5.5412635"," 7.5888299"," 5.2933048"," 7.5501353"," 4.1271344"," 5.2729996"," 6.3985949"," 7.5352967"," 7.4187809"," 6.0544393"," 6.5652650"," 7.8628820"," 5.2729996"," 8.0946836"," 3.2958369"," 0.6931472"," 7.2970910"
"TCGA-DD-A1EH-00"," 7.854381"," 5.837730"," 4.204693"," 9.672060"," 3.526361"," 7.520235"," 6.801283"," 5.723585"," 3.433987"," 3.784190"," 6.079933"," 7.169350"," 6.396930"," 8.058644","10.555604"," 8.419801"," 5.710427"," 7.780303"," 5.384495"," 7.865955"," 4.859812"," 5.771441"," 6.839476"," 7.703008"," 7.947679"," 5.159055"," 7.027315"," 8.452121"," 5.762051"," 8.788746"," 4.406719"," 0.000000"," 7.462215"
