"","V1","V2"
"677","E2F4","PARD3"
"678","E2F4","RASSF4"
"679","E2F4","PTPRB"
"680","E2F4","SMARCE1"
"681","E2F4","HLTF"
"682","E2F4","PTMA"
"683","E2F4","SUZ12"
"684","E2F4","GTF3C2"
"685","E2F4","LHX2"
"686","E2F4","MCM8"
"687","E2F4","SUPT4H1"
"688","E2F4","TRRAP"
"689","E2F4","TK1"
"690","E2F4","CTH"
"691","E2F4","XPO1"
"692","E2F4","BIRC5"
"693","E2F4","PTGS2"
"694","E2F4","MSH2"
"695","E2F4","AURKB"
"696","E2F4","CDCA7"
"697","E2F4","DIRAS3"
"698","E2F4","RRM1"
"699","E2F4","TOP2A"
"700","E2F4","PCLAF"
"701","E2F4","MCM10"
"702","E2F4","PLK4"
"703","E2F4","TOPBP1"
"704","E2F4","TTK"
"705","E2F4","F3"
"706","E2F4","STMN1"
"707","E2F4","TMPO"
"708","E2F4","UBE2S"
"709","E2F4","MKI67"
"710","E2F4","POLD1"
"711","E2F4","PRC1"
"712","E2F4","PPIA"
"713","E2F4","NUP153"
"714","E2F4","NCL"
"715","E2F4","EIF4H"
"716","E2F4","UNG"
"717","E2F4","TRMT6"
"718","E2F4","SMC3"
"719","E2F4","SLC39A14"
"720","E2F4","RANBP1"
"721","E2F4","METTL3"
"722","E2F4","MEPCE"
"723","E2F4","MAPRE1"
"724","E2F4","HMMR"
"725","E2F4","CENPM"
"726","E2F4","CSRNP1"
"727","E2F4","CLIC1"
"728","E2F4","PTBP3"
"729","E2F4","PRR14L"
"730","E2F4","PABPC1"
"731","E2F4","NSF"
"732","E2F4","SUV39H1"
"733","E2F4","SMC4"
"734","E2F4","KDM6A"
"735","E2F4","GINS1"
"736","E2F4","WRAP73"
"737","E2F4","N4BP2L1"
"738","E2F4","STK35"
"739","E2F4","STAG1"
"740","E2F4","SENP1"
"741","E2F4","RPS20"
"742","E2F4","RFC3"
"743","E2F4","PXMP2"
"744","E2F4","PPM1D"
"745","E2F4","POLE2"
"746","E2F4","NUP155"
"747","E2F4","NIPBL"
"748","E2F4","NDC80"
"749","E2F4","MSH6"
"750","E2F4","MSH3"
"751","E2F4","KIAA1143"
"752","E2F4","HAT1"
"753","E2F4","GPR158"
"754","E2F4","GMNN"
"755","E2F4","DTL"
"756","E2F4","DHX9"
"757","E2F4","BROX"
"758","E2F4","ARL6IP6"
"759","E2F4","DHX30"
"760","E2F4","BUB3"
"761","E2F4","STOML2"
"762","E2F4","FBLN1"
"763","E2F4","CHCHD7"
"764","E2F4","RUSC1"
"765","E2F4","SPRY2"
"766","E2F4","TMEM53"
"767","E2F4","SHB"
"768","E2F4","PRIM2"
"769","E2F4","OTUD7B"
"770","E2F4","KIF4A"
"771","E2F4","GON4L"
"772","E2F4","EFCAB7"
"773","E2F4","MRPL49"
"774","E2F4","LRRC4C"
"775","E2F4","TCP1"
"776","E2F4","RPL23A"
"777","E2F4","NEK2"
"778","E2F4","MZT1"
"779","E2F4","GPANK1"
"780","E2F4","CYP2R1"
"781","E2F4","ARHGAP11A"
"782","E2F4","AGBL5"
"783","E2F4","TSNAX"
"784","E2F4","RPL15"
"785","E2F4","RHOBTB1"
"786","E2F4","RFC4"
"787","E2F4","PLSCR4"
"788","E2F4","NR2C2AP"
"789","E2F4","NCBP2"
"790","E2F4","MRTO4"
"791","E2F4","ITGB3BP"
"792","E2F4","GPAA1"
"793","E2F4","FEN1"
"794","E2F4","FARS2"
"795","E2F4","DRG1"
"796","E2F4","DCTPP1"
"797","E2F4","COL4A1"
"798","E2F4","CLK2"
"799","E2F4","CCT3"
"800","E2F4","CALM1"
"801","E2F4","ANLN"
"802","E2F4","BMPR1B"
"803","E2F4","CA2"
"804","E2F4","GJB2"
"805","E2F4","TSPAN7"
"806","E2F4","SLC25A20"
"807","E2F4","RBM22"
"808","E2F4","RABIF"
"809","E2F4","KLHDC3"
"810","E2F4","AP1S1"
"811","E2F4","TBL2"
"812","E2F4","RBM28"
"813","E2F4","NSFL1C"
"814","E2F4","MYOZ3"
"815","E2F4","METTL15"
"816","E2F4","GALNT11"
"817","E2F4","DENR"
"818","E2F4","CNOT10"
"819","E2F4","TUFT1"
"820","E2F4","TACC3"
"821","E2F4","SORL1"
"822","E2F4","SLC16A2"
"823","E2F4","SETD2"
"824","E2F4","SAP30L"
"825","E2F4","RPL29"
"826","E2F4","PRRC2C"
"827","E2F4","PHYHIPL"
"828","E2F4","NPY1R"
"829","E2F4","MRPL24"
"830","E2F4","MELK"
"831","E2F4","COPS6"
"832","E2F4","CLTA"
"833","E2F4","CHRDL1"
"834","E2F4","CBX1"
"835","E2F4","CAPRIN1"
"836","E2F4","BAP1"
"837","E2F4","ARSJ"
"838","E2F4","APIP"
"839","E2F4","STAM"
"840","E2F4","SMC2"
"841","E2F4","RPS4X"
"842","E2F4","G6PD"
"843","E2F4","CSE1L"
"844","E2F4","CENPE"
"845","E2F4","CDC37L1"
"846","E2F5","WNT5A"
"847","E2F5","WNT9A"
"848","E2F5","PARD3"
"849","E2F5","RASSF4"
"850","E2F5","PTPRB"
"851","E2F5","SDC1"
"852","E2F5","ARID1A"
"853","E2F5","SMARCE1"
"854","E2F5","HMGA1"
"855","E2F5","HMGB2"
"856","E2F5","PTMA"
"857","E2F5","UHRF1"
"858","E2F5","DEK"
"859","E2F5","FUS"
"860","E2F5","GTF3C2"
"861","E2F5","LHX2"
"862","E2F5","RAD51"
"863","E2F5","XPO1"
"864","E2F5","CDCA7"
"865","E2F5","MCM10"
"866","E2F5","LOXL2"
"867","E2F5","STMN1"
"868","E2F5","TMPO"
"869","E2F5","UBE2S"
"870","E2F5","NUP153"
"871","E2F5","UNG"
"872","E2F5","TRMT6"
"873","E2F5","SMC3"
"874","E2F5","SLC39A14"
"875","E2F5","RANBP1"
"876","E2F5","METTL3"
"877","E2F5","MEPCE"
"878","E2F5","CENPM"
"879","E2F5","CSRNP1"
"880","E2F5","CLIC1"
"881","E2F5","PTBP3"
"882","E2F5","PRR14L"
"883","E2F5","PABPC1"
"884","E2F5","NSF"
"885","E2F5","SUV39H1"
"886","E2F5","SMC4"
"887","E2F5","KDM6A"
"888","E2F5","GINS1"
"889","E2F5","WRAP73"
"890","E2F5","N4BP2L1"
"891","E2F5","STK35"
"892","E2F5","STAG1"
"893","E2F5","SENP1"
"894","E2F5","RPS20"
"895","E2F5","PXMP2"
"896","E2F5","PPM1D"
"897","E2F5","NUP155"
"898","E2F5","NIPBL"
"899","E2F5","MSH6"
"900","E2F5","MSH3"
"901","E2F5","KIAA1143"
"902","E2F5","HAT1"
"903","E2F5","GPR158"
"904","E2F5","GMNN"
"905","E2F5","DTL"
"906","E2F5","DHX9"
"907","E2F5","BROX"
"908","E2F5","ARL6IP6"
"909","E2F5","DHX30"
"910","E2F5","STOML2"
"911","E2F5","FBLN1"
"912","E2F5","CHCHD7"
"913","E2F5","RUSC1"
"914","E2F5","SPRY2"
"915","E2F5","TMEM53"
"916","E2F5","SHB"
"917","E2F5","OTUD7B"
"918","E2F5","GON4L"
"919","E2F5","EFCAB7"
"920","E2F5","MRPL49"
"921","E2F5","LRRC4C"
"922","E2F5","TCP1"
"923","E2F5","MZT1"
"924","E2F5","CYP2R1"
"925","E2F5","ARHGAP11A"
"926","E2F5","AGBL5"
"927","E2F5","RPL15"
"928","E2F5","RHOBTB1"
"929","E2F5","NR2C2AP"
